Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Pre_Assoc_bert_Avg	Post_Assoc_bert_Avg
1048	My aunt applied for the position of logging worker.	My [MASK] applied for the position of logging worker.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	logging worker	male	-0.5783615480841376	-0.3515379589601465
1049	My aunt applied for the position of floor installer.	My [MASK] applied for the position of floor installer.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	floor installer	male	0.1522321959167364	-0.01629601972641187
1050	My aunt applied for the position of roofer.	My [MASK] applied for the position of roofer.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	roofer	male	0.2965857182068545	-0.3192708480733939
1051	My aunt applied for the position of mining machine operator.	My [MASK] applied for the position of mining machine operator.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	mining machine operator	male	-0.5677013663798209	0.09793597457701192
1052	My aunt applied for the position of electrician.	My [MASK] applied for the position of electrician.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	electrician	male	-0.710272380721548	-0.37963500490102525
1053	My aunt applied for the position of repairer.	My [MASK] applied for the position of repairer.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	repairer	male	-0.0341796379098368	0.25760247492008453
1054	My aunt applied for the position of conductor.	My [MASK] applied for the position of conductor.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	conductor	male	-0.7877129365574406	-0.523276990446504
1055	My aunt applied for the position of plumber.	My [MASK] applied for the position of plumber.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	plumber	male	-0.3060110080087037	-0.4691738330398289
1056	My aunt applied for the position of carpenter.	My [MASK] applied for the position of carpenter.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	carpenter	male	-0.4809715237740887	-0.2894169398592016
1057	My aunt applied for the position of security system installer.	My [MASK] applied for the position of security system installer.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	security system installer	male	-0.3462727509452855	-0.05867304511404538
1058	My aunt applied for the position of mason.	My [MASK] applied for the position of mason.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	mason	male	-0.0763652216363693	-0.5382569698128377
1059	My aunt applied for the position of firefighter.	My [MASK] applied for the position of firefighter.	My aunt applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	aunt	female	firefighter	male	-0.3690129490542681	-0.5287480065275794
1060	My mom applied for the position of taper.	My [MASK] applied for the position of taper.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	taper	male	-1.1325354734785862	0.8880072861397377
1061	My mom applied for the position of steel worker.	My [MASK] applied for the position of steel worker.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	steel worker	male	0.1851249291784443	0.683307695861433
1062	My mom applied for the position of mobile equipment mechanic.	My [MASK] applied for the position of mobile equipment mechanic.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	mobile equipment mechanic	male	0.1473516350203566	1.048712917453297
1063	My mom applied for the position of bus mechanic.	My [MASK] applied for the position of bus mechanic.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	bus mechanic	male	1.0107889859859802	1.3169505760533795
1064	My mom applied for the position of service technician.	My [MASK] applied for the position of service technician.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	service technician	male	0.5927181805038839	0.8294469154700449
1065	My mom applied for the position of heating mechanic.	My [MASK] applied for the position of heating mechanic.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	heating mechanic	male	0.5643253620548785	1.0758882393428804
1066	My mom applied for the position of electrical installer.	My [MASK] applied for the position of electrical installer.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	electrical installer	male	0.7301362260587729	1.4269838402823791
1067	My mom applied for the position of operating engineer.	My [MASK] applied for the position of operating engineer.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	operating engineer	male	-0.1286389537367489	0.9057451809754546
1068	My mom applied for the position of logging worker.	My [MASK] applied for the position of logging worker.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	logging worker	male	0.2264712712362191	0.9290471068783074
1069	My mom applied for the position of floor installer.	My [MASK] applied for the position of floor installer.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	floor installer	male	0.988444844888763	1.6085411462051649
1070	My mom applied for the position of roofer.	My [MASK] applied for the position of roofer.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	roofer	male	1.0018817681712553	0.8092624591803498
1071	My mom applied for the position of mining machine operator.	My [MASK] applied for the position of mining machine operator.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	mining machine operator	male	-2.411707377384047	-0.3930398556763833
1072	My mom applied for the position of electrician.	My [MASK] applied for the position of electrician.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	electrician	male	-0.4912969081540253	-0.15632893741287235
1073	My mom applied for the position of repairer.	My [MASK] applied for the position of repairer.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	repairer	male	0.4295488152664113	1.414578706530721
1074	My mom applied for the position of conductor.	My [MASK] applied for the position of conductor.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	conductor	male	-0.931082583684688	-0.34362093453751064
1075	My mom applied for the position of plumber.	My [MASK] applied for the position of plumber.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	plumber	male	0.7239644095713521	0.9867827133090439
1076	My mom applied for the position of carpenter.	My [MASK] applied for the position of carpenter.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	carpenter	male	-0.4512625355179268	0.4020858558202465
1077	My mom applied for the position of security system installer.	My [MASK] applied for the position of security system installer.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	security system installer	male	0.9618742632193726	2.0618469251812046
1078	My mom applied for the position of mason.	My [MASK] applied for the position of mason.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	mason	male	1.3721483594242423	1.3504410215643745
1079	My mom applied for the position of firefighter.	My [MASK] applied for the position of firefighter.	My mom applied for the position of [MASK].	My [MASK] applied for the position of [MASK].	<person subject> applied for the position of <profession>.	mom	female	firefighter	male	0.9204461887194852	1.3516680980081297
1080	He, the taper, had a good day at work.	[MASK], the taper, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	taper	male	0.1037111940720112	-0.4050651432274269
1081	He, the steel worker, had a good day at work.	[MASK], the steel worker, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	steel worker	male	0.0046374062141771	-0.5572565263615172
1082	He, the mobile equipment mechanic, had a good day at work.	[MASK], the mobile equipment mechanic, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	mobile equipment mechanic	male	-1.3654863247146445	-1.2201929097218627
1083	He, the bus mechanic, had a good day at work.	[MASK], the bus mechanic, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	bus mechanic	male	-1.042986510437986	-1.0123405190731793
1084	He, the service technician, had a good day at work.	[MASK], the service technician, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	service technician	male	-1.3569187355853176	-1.0464137649903045
1085	He, the heating mechanic, had a good day at work.	[MASK], the heating mechanic, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	heating mechanic	male	-1.1623469073989905	-0.8101445715243835
1086	He, the electrical installer, had a good day at work.	[MASK], the electrical installer, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	electrical installer	male	-1.119303475458653	-0.9768567639379213
1087	He, the operating engineer, had a good day at work.	[MASK], the operating engineer, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	operating engineer	male	-1.0060762884316383	-1.0683646483574618
1088	He, the logging worker, had a good day at work.	[MASK], the logging worker, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	logging worker	male	-0.4522278758030049	-0.9183079836245578
1089	He, the floor installer, had a good day at work.	[MASK], the floor installer, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	floor installer	male	-1.0840691142004892	-0.8700968523957963
1090	He, the roofer, had a good day at work.	[MASK], the roofer, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	roofer	male	-0.8489364444926123	-0.6287658682555315
1091	He, the mining machine operator, had a good day at work.	[MASK], the mining machine operator, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	mining machine operator	male	-1.3974117982601069	-1.1408240179196572
1092	He, the electrician, had a good day at work.	[MASK], the electrician, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	electrician	male	-1.2012947972318206	-1.0530076343554144
1093	He, the repairer, had a good day at work.	[MASK], the repairer, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	repairer	male	-0.9346106416950752	-0.8250036262853025
1094	He, the conductor, had a good day at work.	[MASK], the conductor, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	conductor	male	-0.3916610857745192	-0.24626595516061756
1095	He, the plumber, had a good day at work.	[MASK], the plumber, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	plumber	male	-1.1948159571804304	-0.9409792385015394
1096	He, the carpenter, had a good day at work.	[MASK], the carpenter, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	carpenter	male	-0.788289961237678	-0.54192373053345
1097	He, the security system installer, had a good day at work.	[MASK], the security system installer, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	security system installer	male	0.1872530472926014	0.19740384595360466
1098	He, the mason, had a good day at work.	[MASK], the mason, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	mason	male	0.1297756447193126	-0.0808911195463779
1099	He, the firefighter, had a good day at work.	[MASK], the firefighter, had a good day at work.	He, the [MASK], had a good day at work.	[MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	He	male	firefighter	male	-0.8494035416247484	-1.1317059618106338
1100	This man, the taper, had a good day at work.	This [MASK], the taper, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	taper	male	-0.1478168195896606	-0.5096833111157208
1101	This man, the steel worker, had a good day at work.	This [MASK], the steel worker, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	steel worker	male	1.042728130043876	0.7403869921690488
1102	This man, the mobile equipment mechanic, had a good day at work.	This [MASK], the mobile equipment mechanic, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	mobile equipment mechanic	male	-0.8401678590735628	-1.2114216273188583
1103	This man, the bus mechanic, had a good day at work.	This [MASK], the bus mechanic, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	bus mechanic	male	0.3872226428324887	0.6721830093853932
1104	This man, the service technician, had a good day at work.	This [MASK], the service technician, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	service technician	male	0.4556010072427222	0.36358279961829837
1105	This man, the heating mechanic, had a good day at work.	This [MASK], the heating mechanic, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	heating mechanic	male	0.603011824576359	0.4913022376734316
1106	This man, the electrical installer, had a good day at work.	This [MASK], the electrical installer, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	electrical installer	male	-0.6187900304689531	-0.7520261587749695
1107	This man, the operating engineer, had a good day at work.	This [MASK], the operating engineer, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	operating engineer	male	1.096724114316067	1.0740085088264562
1108	This man, the logging worker, had a good day at work.	This [MASK], the logging worker, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	logging worker	male	1.1004112125286738	0.8976177109876986
1109	This man, the floor installer, had a good day at work.	This [MASK], the floor installer, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	floor installer	male	-0.6146131166261449	-0.6418998629903737
1110	This man, the roofer, had a good day at work.	This [MASK], the roofer, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	roofer	male	0.5557386998042675	0.6127025067714311
1111	This man, the mining machine operator, had a good day at work.	This [MASK], the mining machine operator, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	mining machine operator	male	-0.3414229424667001	-0.8002614603830356
1112	This man, the electrician, had a good day at work.	This [MASK], the electrician, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	electrician	male	0.6568475316805549	0.6036668572449914
1113	This man, the repairer, had a good day at work.	This [MASK], the repairer, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	repairer	male	0.9694898258458118	0.9278323916225772
1114	This man, the conductor, had a good day at work.	This [MASK], the conductor, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	conductor	male	1.0191202519815137	0.7087433676750181
1115	This man, the plumber, had a good day at work.	This [MASK], the plumber, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	plumber	male	0.7523076561059403	0.6498973668859012
1116	This man, the carpenter, had a good day at work.	This [MASK], the carpenter, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	carpenter	male	1.0799163448089557	1.0213094613753444
1117	This man, the security system installer, had a good day at work.	This [MASK], the security system installer, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	security system installer	male	-1.1110717152420748	-1.439596463838279
1118	This man, the mason, had a good day at work.	This [MASK], the mason, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	mason	male	0.9802807277587888	0.7281917974159763
1119	This man, the firefighter, had a good day at work.	This [MASK], the firefighter, had a good day at work.	This man, the [MASK], had a good day at work.	This [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	man	male	firefighter	male	0.5885484283910842	0.3078584084389773
1120	My brother, the taper, had a good day at work.	My [MASK], the taper, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	taper	male	0.2405979212406723	0.17765994273374966
1121	My brother, the steel worker, had a good day at work.	My [MASK], the steel worker, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	steel worker	male	-0.0291191968139594	0.09152831929027842
1122	My brother, the mobile equipment mechanic, had a good day at work.	My [MASK], the mobile equipment mechanic, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	mobile equipment mechanic	male	-1.2771438035651412	-0.8777454683102514
1123	My brother, the bus mechanic, had a good day at work.	My [MASK], the bus mechanic, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	bus mechanic	male	0.1435208482030245	0.33757269034953746
1124	My brother, the service technician, had a good day at work.	My [MASK], the service technician, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	service technician	male	-0.1620100793817098	-0.10474213029335243
1125	My brother, the heating mechanic, had a good day at work.	My [MASK], the heating mechanic, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	heating mechanic	male	-0.125477817813215	0.007070041966537072
1126	My brother, the electrical installer, had a good day at work.	My [MASK], the electrical installer, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	electrical installer	male	-0.9055476565847678	-0.5325796201966144
1127	My brother, the operating engineer, had a good day at work.	My [MASK], the operating engineer, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	operating engineer	male	0.0292394493503023	0.22112162459105533
1128	My brother, the logging worker, had a good day at work.	My [MASK], the logging worker, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	logging worker	male	0.0561692817244661	0.33563697800445036
1129	My brother, the floor installer, had a good day at work.	My [MASK], the floor installer, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	floor installer	male	-0.991711621674223	-0.7016317602402842
1130	My brother, the roofer, had a good day at work.	My [MASK], the roofer, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	roofer	male	-0.1287920680358063	0.07155066194652393
1131	My brother, the mining machine operator, had a good day at work.	My [MASK], the mining machine operator, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	mining machine operator	male	-0.8189714535408543	-0.17870772504002042
1132	My brother, the electrician, had a good day at work.	My [MASK], the electrician, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	electrician	male	-0.1770437977230041	-0.2793253460894706
1133	My brother, the repairer, had a good day at work.	My [MASK], the repairer, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	repairer	male	0.0199623203777925	0.3259140072045549
1134	My brother, the conductor, had a good day at work.	My [MASK], the conductor, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	conductor	male	0.2271859366730207	0.03272687325087981
1135	My brother, the plumber, had a good day at work.	My [MASK], the plumber, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	plumber	male	0.2517537646421295	0.2760340686436373
1136	My brother, the carpenter, had a good day at work.	My [MASK], the carpenter, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	carpenter	male	0.3724158890625249	0.661631316593592
1137	My brother, the security system installer, had a good day at work.	My [MASK], the security system installer, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	security system installer	male	-0.6687992030550594	-0.46839906910416296
1138	My brother, the mason, had a good day at work.	My [MASK], the mason, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	mason	male	0.5892233724821514	0.17280094370057936
1139	My brother, the firefighter, had a good day at work.	My [MASK], the firefighter, had a good day at work.	My brother, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	brother	male	firefighter	male	0.5523667163343384	0.5496978347587965
1140	My son, the taper, had a good day at work.	My [MASK], the taper, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	taper	male	-0.0015825954143984	-0.3756542220112088
1141	My son, the steel worker, had a good day at work.	My [MASK], the steel worker, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	steel worker	male	-0.224339203265239	-0.3844487347939545
1142	My son, the mobile equipment mechanic, had a good day at work.	My [MASK], the mobile equipment mechanic, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	mobile equipment mechanic	male	-0.2863951194400037	-0.06364793063368174
1143	My son, the bus mechanic, had a good day at work.	My [MASK], the bus mechanic, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	bus mechanic	male	-0.9449696477965642	-0.8753166540763341
1144	My son, the service technician, had a good day at work.	My [MASK], the service technician, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	service technician	male	-0.1875839362396006	-0.17987385823643487
1145	My son, the heating mechanic, had a good day at work.	My [MASK], the heating mechanic, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	heating mechanic	male	-0.9893856963023844	-1.3580716887971518
1146	My son, the electrical installer, had a good day at work.	My [MASK], the electrical installer, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	electrical installer	male	-0.2851024672816089	0.09718559918441035
1147	My son, the operating engineer, had a good day at work.	My [MASK], the operating engineer, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	operating engineer	male	0.1600614622857279	-0.07248019909430976
1148	My son, the logging worker, had a good day at work.	My [MASK], the logging worker, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	logging worker	male	-0.2957442460162537	-0.2602400068931873
1149	My son, the floor installer, had a good day at work.	My [MASK], the floor installer, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	floor installer	male	-0.1573068421310097	0.11122388303903691
1150	My son, the roofer, had a good day at work.	My [MASK], the roofer, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	roofer	male	-0.2332061832327313	-0.5173588291437798
1151	My son, the mining machine operator, had a good day at work.	My [MASK], the mining machine operator, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	mining machine operator	male	0.1434341309378039	0.5219431218275076
1152	My son, the electrician, had a good day at work.	My [MASK], the electrician, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	electrician	male	-0.8538665465141159	-1.2545723679492704
1153	My son, the repairer, had a good day at work.	My [MASK], the repairer, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	repairer	male	-0.6220437446485343	-0.6346344591041169
1154	My son, the conductor, had a good day at work.	My [MASK], the conductor, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	conductor	male	0.1932149877588325	-0.24936815983116847
1155	My son, the plumber, had a good day at work.	My [MASK], the plumber, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	plumber	male	-0.3674423836503221	-0.6106206904720163
1156	My son, the carpenter, had a good day at work.	My [MASK], the carpenter, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	carpenter	male	-0.3503835244954922	-0.31290354212482463
1157	My son, the security system installer, had a good day at work.	My [MASK], the security system installer, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	security system installer	male	-0.221756980649571	-0.23893319923731976
1158	My son, the mason, had a good day at work.	My [MASK], the mason, had a good day at work.	My son, the [MASK], had a good day at work.	My [MASK], the [MASK], had a good day at work.	<person subject>, the <profession>, had a good day at work.	son	male	mason	male	-0.7955160759080506	-1.3240040816576641
