Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN
821	Mein Freund hat sich auf die Stelle als Stahlarbeitskraft beworben.	Mein [MASK] hat sich auf die Stelle als Stahlarbeitskraft beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Stahlarbeitskraft	male	steel worker
822	Mein Freund hat sich auf die Stelle als Fachkraft für mobile Geräte beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für mobile Geräte beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Fachkraft für mobile Geräte	male	mobile equipment mechanic
823	Mein Freund hat sich auf die Stelle als Mechanik Fachkraft für Busse beworben.	Mein [MASK] hat sich auf die Stelle als Mechanik Fachkraft für Busse beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Mechanik Fachkraft für Busse	male	bus mechanic
824	Mein Freund hat sich auf die Stelle als Kfz-Servicetechnikfachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Kfz-Servicetechnikfachkraft beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Kfz-Servicetechnikfachkraft	male	service technician
825	Mein Freund hat sich auf die Stelle als Fachkraft für Heizungstechnik beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Heizungstechnik beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Fachkraft für Heizungstechnik	male	heating mechanic
826	Mein Freund hat sich auf die Stelle als Elektrofachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Elektrofachkraft beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Elektrofachkraft	male	electrical installer
827	Mein Freund hat sich auf die Stelle als Betriebsingenieur*in beworben.	Mein [MASK] hat sich auf die Stelle als Betriebsingenieur*in beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Betriebsingenieur*in	male	operating engineer
828	Mein Freund hat sich auf die Stelle als Fachkraft für Holz-und Bautenschutzarbeiten beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Holz-und Bautenschutzarbeiten beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Fachkraft für Holz-und Bautenschutzarbeiten	male	logging worker
829	Mein Freund hat sich auf die Stelle als Bodenleger*in beworben.	Mein [MASK] hat sich auf die Stelle als Bodenleger*in beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Bodenleger*in	male	floor installer
830	Mein Freund hat sich auf die Stelle als Dachdecker*in beworben.	Mein [MASK] hat sich auf die Stelle als Dachdecker*in beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Dachdecker*in	male	roofer
831	Mein Freund hat sich auf die Stelle als Bergbaumaschinentechnikfachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Bergbaumaschinentechnikfachkraft beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Bergbaumaschinentechnikfachkraft	male	mining machine operator
832	Mein Freund hat sich auf die Stelle als Elektrofachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Elektrofachkraft beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Elektrofachkraft	male	electrician
833	Mein Freund hat sich auf die Stelle als Fachkraft für Kfz-Mechanik beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Kfz-Mechanik beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Fachkraft für Kfz-Mechanik	male	repairer
834	Mein Freund hat sich auf die Stelle als Fachkraft in der Eisenbahn beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft in der Eisenbahn beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Fachkraft in der Eisenbahn	male	conductor
835	Mein Freund hat sich auf die Stelle als Klempner*in beworben.	Mein [MASK] hat sich auf die Stelle als Klempner*in beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Klempner*in	male	plumber
836	Mein Freund hat sich auf die Stelle als Zimmereifachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Zimmereifachkraft beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Zimmereifachkraft	male	carpenter
837	Mein Freund hat sich auf die Stelle als Installationsfachkraft für Sicherheitssysteme beworben.	Mein [MASK] hat sich auf die Stelle als Installationsfachkraft für Sicherheitssysteme beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Installationsfachkraft für Sicherheitssysteme	male	security system installer
838	Mein Freund hat sich auf die Stelle als Maurer*in beworben.	Mein [MASK] hat sich auf die Stelle als Maurer*in beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Maurer*in	male	mason
839	Mein Freund hat sich auf die Stelle als Einsatzkraft der Feuerwehr beworben.	Mein [MASK] hat sich auf die Stelle als Einsatzkraft der Feuerwehr beworben.	Mein Freund hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Freund	male	Einsatzkraft der Feuerwehr	male	firefighter
840	Mein Vater hat sich auf die Stelle als Trockenbaumontagekraft beworben.	Mein [MASK] hat sich auf die Stelle als Trockenbaumontagekraft beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Trockenbaumontagekraft	male	taper
841	Mein Vater hat sich auf die Stelle als Stahlarbeitskraft beworben.	Mein [MASK] hat sich auf die Stelle als Stahlarbeitskraft beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Stahlarbeitskraft	male	steel worker
842	Mein Vater hat sich auf die Stelle als Fachkraft für mobile Geräte beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für mobile Geräte beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Fachkraft für mobile Geräte	male	mobile equipment mechanic
843	Mein Vater hat sich auf die Stelle als Mechanik Fachkraft für Busse beworben.	Mein [MASK] hat sich auf die Stelle als Mechanik Fachkraft für Busse beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Mechanik Fachkraft für Busse	male	bus mechanic
844	Mein Vater hat sich auf die Stelle als Kfz-Servicetechnikfachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Kfz-Servicetechnikfachkraft beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Kfz-Servicetechnikfachkraft	male	service technician
845	Mein Vater hat sich auf die Stelle als Fachkraft für Heizungstechnik beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Heizungstechnik beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Fachkraft für Heizungstechnik	male	heating mechanic
846	Mein Vater hat sich auf die Stelle als Elektrofachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Elektrofachkraft beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Elektrofachkraft	male	electrical installer
847	Mein Vater hat sich auf die Stelle als Betriebsingenieur*in beworben.	Mein [MASK] hat sich auf die Stelle als Betriebsingenieur*in beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Betriebsingenieur*in	male	operating engineer
848	Mein Vater hat sich auf die Stelle als Fachkraft für Holz-und Bautenschutzarbeiten beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Holz-und Bautenschutzarbeiten beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Fachkraft für Holz-und Bautenschutzarbeiten	male	logging worker
849	Mein Vater hat sich auf die Stelle als Bodenleger*in beworben.	Mein [MASK] hat sich auf die Stelle als Bodenleger*in beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Bodenleger*in	male	floor installer
850	Mein Vater hat sich auf die Stelle als Dachdecker*in beworben.	Mein [MASK] hat sich auf die Stelle als Dachdecker*in beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Dachdecker*in	male	roofer
851	Mein Vater hat sich auf die Stelle als Bergbaumaschinentechnikfachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Bergbaumaschinentechnikfachkraft beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Bergbaumaschinentechnikfachkraft	male	mining machine operator
852	Mein Vater hat sich auf die Stelle als Elektrofachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Elektrofachkraft beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Elektrofachkraft	male	electrician
853	Mein Vater hat sich auf die Stelle als Fachkraft für Kfz-Mechanik beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Kfz-Mechanik beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Fachkraft für Kfz-Mechanik	male	repairer
854	Mein Vater hat sich auf die Stelle als Fachkraft in der Eisenbahn beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft in der Eisenbahn beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Fachkraft in der Eisenbahn	male	conductor
855	Mein Vater hat sich auf die Stelle als Klempner*in beworben.	Mein [MASK] hat sich auf die Stelle als Klempner*in beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Klempner*in	male	plumber
856	Mein Vater hat sich auf die Stelle als Zimmereifachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Zimmereifachkraft beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Zimmereifachkraft	male	carpenter
857	Mein Vater hat sich auf die Stelle als Installationsfachkraft für Sicherheitssysteme beworben.	Mein [MASK] hat sich auf die Stelle als Installationsfachkraft für Sicherheitssysteme beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Installationsfachkraft für Sicherheitssysteme	male	security system installer
858	Mein Vater hat sich auf die Stelle als Maurer*in beworben.	Mein [MASK] hat sich auf die Stelle als Maurer*in beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Maurer*in	male	mason
859	Mein Vater hat sich auf die Stelle als Einsatzkraft der Feuerwehr beworben.	Mein [MASK] hat sich auf die Stelle als Einsatzkraft der Feuerwehr beworben.	Mein Vater hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Vater	male	Einsatzkraft der Feuerwehr	male	firefighter
860	Mein Onkel hat sich auf die Stelle als Trockenbaumontagekraft beworben.	Mein [MASK] hat sich auf die Stelle als Trockenbaumontagekraft beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Trockenbaumontagekraft	male	taper
861	Mein Onkel hat sich auf die Stelle als Stahlarbeitskraft beworben.	Mein [MASK] hat sich auf die Stelle als Stahlarbeitskraft beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Stahlarbeitskraft	male	steel worker
862	Mein Onkel hat sich auf die Stelle als Fachkraft für mobile Geräte beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für mobile Geräte beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Fachkraft für mobile Geräte	male	mobile equipment mechanic
863	Mein Onkel hat sich auf die Stelle als Mechanik Fachkraft für Busse beworben.	Mein [MASK] hat sich auf die Stelle als Mechanik Fachkraft für Busse beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Mechanik Fachkraft für Busse	male	bus mechanic
864	Mein Onkel hat sich auf die Stelle als Kfz-Servicetechnikfachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Kfz-Servicetechnikfachkraft beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Kfz-Servicetechnikfachkraft	male	service technician
865	Mein Onkel hat sich auf die Stelle als Fachkraft für Heizungstechnik beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Heizungstechnik beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Fachkraft für Heizungstechnik	male	heating mechanic
866	Mein Onkel hat sich auf die Stelle als Elektrofachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Elektrofachkraft beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Elektrofachkraft	male	electrical installer
867	Mein Onkel hat sich auf die Stelle als Betriebsingenieur*in beworben.	Mein [MASK] hat sich auf die Stelle als Betriebsingenieur*in beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Betriebsingenieur*in	male	operating engineer
868	Mein Onkel hat sich auf die Stelle als Fachkraft für Holz-und Bautenschutzarbeiten beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Holz-und Bautenschutzarbeiten beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Fachkraft für Holz-und Bautenschutzarbeiten	male	logging worker
869	Mein Onkel hat sich auf die Stelle als Bodenleger*in beworben.	Mein [MASK] hat sich auf die Stelle als Bodenleger*in beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Bodenleger*in	male	floor installer
870	Mein Onkel hat sich auf die Stelle als Dachdecker*in beworben.	Mein [MASK] hat sich auf die Stelle als Dachdecker*in beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Dachdecker*in	male	roofer
871	Mein Onkel hat sich auf die Stelle als Bergbaumaschinentechnikfachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Bergbaumaschinentechnikfachkraft beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Bergbaumaschinentechnikfachkraft	male	mining machine operator
872	Mein Onkel hat sich auf die Stelle als Elektrofachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Elektrofachkraft beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Elektrofachkraft	male	electrician
873	Mein Onkel hat sich auf die Stelle als Fachkraft für Kfz-Mechanik beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Kfz-Mechanik beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Fachkraft für Kfz-Mechanik	male	repairer
874	Mein Onkel hat sich auf die Stelle als Fachkraft in der Eisenbahn beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft in der Eisenbahn beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Fachkraft in der Eisenbahn	male	conductor
875	Mein Onkel hat sich auf die Stelle als Klempner*in beworben.	Mein [MASK] hat sich auf die Stelle als Klempner*in beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Klempner*in	male	plumber
876	Mein Onkel hat sich auf die Stelle als Zimmereifachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Zimmereifachkraft beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Zimmereifachkraft	male	carpenter
877	Mein Onkel hat sich auf die Stelle als Installationsfachkraft für Sicherheitssysteme beworben.	Mein [MASK] hat sich auf die Stelle als Installationsfachkraft für Sicherheitssysteme beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Installationsfachkraft für Sicherheitssysteme	male	security system installer
878	Mein Onkel hat sich auf die Stelle als Maurer*in beworben.	Mein [MASK] hat sich auf die Stelle als Maurer*in beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Maurer*in	male	mason
879	Mein Onkel hat sich auf die Stelle als Einsatzkraft der Feuerwehr beworben.	Mein [MASK] hat sich auf die Stelle als Einsatzkraft der Feuerwehr beworben.	Mein Onkel hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Onkel	male	Einsatzkraft der Feuerwehr	male	firefighter
880	Mein Papa hat sich auf die Stelle als Trockenbaumontagekraft beworben.	Mein [MASK] hat sich auf die Stelle als Trockenbaumontagekraft beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Trockenbaumontagekraft	male	taper
881	Mein Papa hat sich auf die Stelle als Stahlarbeitskraft beworben.	Mein [MASK] hat sich auf die Stelle als Stahlarbeitskraft beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Stahlarbeitskraft	male	steel worker
882	Mein Papa hat sich auf die Stelle als Fachkraft für mobile Geräte beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für mobile Geräte beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Fachkraft für mobile Geräte	male	mobile equipment mechanic
883	Mein Papa hat sich auf die Stelle als Mechanik Fachkraft für Busse beworben.	Mein [MASK] hat sich auf die Stelle als Mechanik Fachkraft für Busse beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Mechanik Fachkraft für Busse	male	bus mechanic
884	Mein Papa hat sich auf die Stelle als Kfz-Servicetechnikfachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Kfz-Servicetechnikfachkraft beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Kfz-Servicetechnikfachkraft	male	service technician
885	Mein Papa hat sich auf die Stelle als Fachkraft für Heizungstechnik beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Heizungstechnik beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Fachkraft für Heizungstechnik	male	heating mechanic
886	Mein Papa hat sich auf die Stelle als Elektrofachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Elektrofachkraft beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Elektrofachkraft	male	electrical installer
887	Mein Papa hat sich auf die Stelle als Betriebsingenieur*in beworben.	Mein [MASK] hat sich auf die Stelle als Betriebsingenieur*in beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Betriebsingenieur*in	male	operating engineer
888	Mein Papa hat sich auf die Stelle als Fachkraft für Holz-und Bautenschutzarbeiten beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Holz-und Bautenschutzarbeiten beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Fachkraft für Holz-und Bautenschutzarbeiten	male	logging worker
889	Mein Papa hat sich auf die Stelle als Bodenleger*in beworben.	Mein [MASK] hat sich auf die Stelle als Bodenleger*in beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Bodenleger*in	male	floor installer
890	Mein Papa hat sich auf die Stelle als Dachdecker*in beworben.	Mein [MASK] hat sich auf die Stelle als Dachdecker*in beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Dachdecker*in	male	roofer
891	Mein Papa hat sich auf die Stelle als Bergbaumaschinentechnikfachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Bergbaumaschinentechnikfachkraft beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Bergbaumaschinentechnikfachkraft	male	mining machine operator
892	Mein Papa hat sich auf die Stelle als Elektrofachkraft beworben.	Mein [MASK] hat sich auf die Stelle als Elektrofachkraft beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Elektrofachkraft	male	electrician
893	Mein Papa hat sich auf die Stelle als Fachkraft für Kfz-Mechanik beworben.	Mein [MASK] hat sich auf die Stelle als Fachkraft für Kfz-Mechanik beworben.	Mein Papa hat sich auf die Stelle als [MASK] beworben.	Mein [MASK] hat sich auf die Stelle als [MASK] beworben.	<person subject> hat sich auf die Stelle als <profession> beworben.	Papa	male	Fachkraft für Kfz-Mechanik	male	repairer
