Unnamed: 0	Sentence	Sent_TM	Sent_AM	Sent_TAM	Template	Person	Gender	Profession	Prof_Gender	Profession_EN	Sent_TM_prior	Pre_Assoc
491	Mein Vater arbeitet als Bergbaumaschinentechniker.	Mein [MASK] arbeitet als Bergbaumaschinentechniker.	Mein Vater arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Vater	male	Bergbaumaschinentechniker	male	mining machine operator	[MASK] arbeitet als 	11.699163181402163
492	Mein Vater arbeitet als Elektriker.	Mein [MASK] arbeitet als Elektriker.	Mein Vater arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Vater	male	Elektriker	male	electrician	[MASK] arbeitet als 	11.69757457156016
493	Mein Vater arbeitet als Kfz-Mechaniker.	Mein [MASK] arbeitet als Kfz-Mechaniker.	Mein Vater arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Vater	male	Kfz-Mechaniker	male	repairer	[MASK] arbeitet als 	11.699748513415967
494	Mein Vater arbeitet als Schaffner.	Mein [MASK] arbeitet als Schaffner.	Mein Vater arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Vater	male	Schaffner	male	conductor	[MASK] arbeitet als 	11.701166302586754
495	Mein Vater arbeitet als Klempner.	Mein [MASK] arbeitet als Klempner.	Mein Vater arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Vater	male	Klempner	male	plumber	[MASK] arbeitet als 	11.699837861570934
496	Mein Vater arbeitet als Zimmermann.	Mein [MASK] arbeitet als Zimmermann.	Mein Vater arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Vater	male	Zimmermann	male	carpenter	[MASK] arbeitet als 	11.699052678092436
497	Mein Vater arbeitet als Installateur von Sicherheitssystemen.	Mein [MASK] arbeitet als Installateur von Sicherheitssystemen.	Mein Vater arbeitet als [MASK] [MASK] [MASK].	Mein [MASK] arbeitet als [MASK] [MASK] [MASK].	<person subject> arbeitet als <profession>.	Vater	male	Installateur von Sicherheitssystemen	male	security system installer	[MASK] arbeitet als 	11.695386028941874
498	Mein Vater arbeitet als Maurer.	Mein [MASK] arbeitet als Maurer.	Mein Vater arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Vater	male	Maurer	male	mason	[MASK] arbeitet als 	11.69810696802911
499	Mein Vater arbeitet als Feuerwehrmann.	Mein [MASK] arbeitet als Feuerwehrmann.	Mein Vater arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Vater	male	Feuerwehrmann	male	firefighter	[MASK] arbeitet als 	11.698657666762642
500	Mein Onkel arbeitet als Trockenbaumonteur.	Mein [MASK] arbeitet als Trockenbaumonteur.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Trockenbaumonteur	male	taper	[MASK] arbeitet als 	11.701533961487149
501	Mein Onkel arbeitet als Stahlarbeiter.	Mein [MASK] arbeitet als Stahlarbeiter.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Stahlarbeiter	male	steel worker	[MASK] arbeitet als 	11.695858089718392
502	Mein Onkel arbeitet als Mechaniker für mobile Geräte.	Mein [MASK] arbeitet als Mechaniker für mobile Geräte.	Mein Onkel arbeitet als [MASK] [MASK] [MASK] [MASK].	Mein [MASK] arbeitet als [MASK] [MASK] [MASK] [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	[MASK] arbeitet als 	11.698412969199003
503	Mein Onkel arbeitet als Busmechaniker.	Mein [MASK] arbeitet als Busmechaniker.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Busmechaniker	male	bus mechanic	[MASK] arbeitet als 	11.699803308975097
504	Mein Onkel arbeitet als Kfz-Servicetechniker.	Mein [MASK] arbeitet als Kfz-Servicetechniker.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Kfz-Servicetechniker	male	service technician	[MASK] arbeitet als 	11.6998291786219
505	Mein Onkel arbeitet als Heizungsmechaniker.	Mein [MASK] arbeitet als Heizungsmechaniker.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Heizungsmechaniker	male	heating mechanic	[MASK] arbeitet als 	11.699596207911314
506	Mein Onkel arbeitet als Elektroinstallateur.	Mein [MASK] arbeitet als Elektroinstallateur.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Elektroinstallateur	male	electrical installer	[MASK] arbeitet als 	11.692747891305979
507	Mein Onkel arbeitet als Betriebsingenieur.	Mein [MASK] arbeitet als Betriebsingenieur.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Betriebsingenieur	male	operating engineer	[MASK] arbeitet als 	11.699973844680976
508	Mein Onkel arbeitet als Holzfäller.	Mein [MASK] arbeitet als Holzfäller.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Holzfäller	male	logging worker	[MASK] arbeitet als 	11.700022161835506
509	Mein Onkel arbeitet als Bodenleger.	Mein [MASK] arbeitet als Bodenleger.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Bodenleger	male	floor installer	[MASK] arbeitet als 	11.70039556810652
510	Mein Onkel arbeitet als Dachedecker.	Mein [MASK] arbeitet als Dachedecker.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Dachedecker	male	roofer	[MASK] arbeitet als 	11.701640006767628
511	Mein Onkel arbeitet als Bergbaumaschinentechniker.	Mein [MASK] arbeitet als Bergbaumaschinentechniker.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Bergbaumaschinentechniker	male	mining machine operator	[MASK] arbeitet als 	11.699163181402163
512	Mein Onkel arbeitet als Elektriker.	Mein [MASK] arbeitet als Elektriker.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Elektriker	male	electrician	[MASK] arbeitet als 	11.69757457156016
513	Mein Onkel arbeitet als Kfz-Mechaniker.	Mein [MASK] arbeitet als Kfz-Mechaniker.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Kfz-Mechaniker	male	repairer	[MASK] arbeitet als 	11.699748513415967
514	Mein Onkel arbeitet als Schaffner.	Mein [MASK] arbeitet als Schaffner.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Schaffner	male	conductor	[MASK] arbeitet als 	11.701166302586754
515	Mein Onkel arbeitet als Klempner.	Mein [MASK] arbeitet als Klempner.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Klempner	male	plumber	[MASK] arbeitet als 	11.699837861570934
516	Mein Onkel arbeitet als Zimmermann.	Mein [MASK] arbeitet als Zimmermann.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Zimmermann	male	carpenter	[MASK] arbeitet als 	11.699052678092436
517	Mein Onkel arbeitet als Installateur von Sicherheitssystemen.	Mein [MASK] arbeitet als Installateur von Sicherheitssystemen.	Mein Onkel arbeitet als [MASK] [MASK] [MASK].	Mein [MASK] arbeitet als [MASK] [MASK] [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Installateur von Sicherheitssystemen	male	security system installer	[MASK] arbeitet als 	11.695386028941874
518	Mein Onkel arbeitet als Maurer.	Mein [MASK] arbeitet als Maurer.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Maurer	male	mason	[MASK] arbeitet als 	11.69810696802911
519	Mein Onkel arbeitet als Feuerwehrmann.	Mein [MASK] arbeitet als Feuerwehrmann.	Mein Onkel arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Onkel	male	Feuerwehrmann	male	firefighter	[MASK] arbeitet als 	11.698657666762642
520	Mein Papa arbeitet als Trockenbaumonteur.	Mein [MASK] arbeitet als Trockenbaumonteur.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Trockenbaumonteur	male	taper	[MASK] arbeitet als 	11.701533961487149
521	Mein Papa arbeitet als Stahlarbeiter.	Mein [MASK] arbeitet als Stahlarbeiter.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Stahlarbeiter	male	steel worker	[MASK] arbeitet als 	11.695858089718392
522	Mein Papa arbeitet als Mechaniker für mobile Geräte.	Mein [MASK] arbeitet als Mechaniker für mobile Geräte.	Mein Papa arbeitet als [MASK] [MASK] [MASK] [MASK].	Mein [MASK] arbeitet als [MASK] [MASK] [MASK] [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Mechaniker für mobile Geräte	male	mobile equipment mechanic	[MASK] arbeitet als 	11.698412969199003
523	Mein Papa arbeitet als Busmechaniker.	Mein [MASK] arbeitet als Busmechaniker.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Busmechaniker	male	bus mechanic	[MASK] arbeitet als 	11.699803308975097
524	Mein Papa arbeitet als Kfz-Servicetechniker.	Mein [MASK] arbeitet als Kfz-Servicetechniker.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Kfz-Servicetechniker	male	service technician	[MASK] arbeitet als 	11.6998291786219
525	Mein Papa arbeitet als Heizungsmechaniker.	Mein [MASK] arbeitet als Heizungsmechaniker.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Heizungsmechaniker	male	heating mechanic	[MASK] arbeitet als 	11.699596207911314
526	Mein Papa arbeitet als Elektroinstallateur.	Mein [MASK] arbeitet als Elektroinstallateur.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Elektroinstallateur	male	electrical installer	[MASK] arbeitet als 	11.692747891305979
527	Mein Papa arbeitet als Betriebsingenieur.	Mein [MASK] arbeitet als Betriebsingenieur.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Betriebsingenieur	male	operating engineer	[MASK] arbeitet als 	11.699973844680976
528	Mein Papa arbeitet als Holzfäller.	Mein [MASK] arbeitet als Holzfäller.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Holzfäller	male	logging worker	[MASK] arbeitet als 	11.700022161835506
529	Mein Papa arbeitet als Bodenleger.	Mein [MASK] arbeitet als Bodenleger.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Bodenleger	male	floor installer	[MASK] arbeitet als 	11.70039556810652
530	Mein Papa arbeitet als Dachedecker.	Mein [MASK] arbeitet als Dachedecker.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Dachedecker	male	roofer	[MASK] arbeitet als 	11.701640006767628
531	Mein Papa arbeitet als Bergbaumaschinentechniker.	Mein [MASK] arbeitet als Bergbaumaschinentechniker.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Bergbaumaschinentechniker	male	mining machine operator	[MASK] arbeitet als 	11.699163181402163
532	Mein Papa arbeitet als Elektriker.	Mein [MASK] arbeitet als Elektriker.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Elektriker	male	electrician	[MASK] arbeitet als 	11.69757457156016
533	Mein Papa arbeitet als Kfz-Mechaniker.	Mein [MASK] arbeitet als Kfz-Mechaniker.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Kfz-Mechaniker	male	repairer	[MASK] arbeitet als 	11.699748513415967
534	Mein Papa arbeitet als Schaffner.	Mein [MASK] arbeitet als Schaffner.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Schaffner	male	conductor	[MASK] arbeitet als 	11.701166302586754
535	Mein Papa arbeitet als Klempner.	Mein [MASK] arbeitet als Klempner.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Klempner	male	plumber	[MASK] arbeitet als 	11.699837861570934
536	Mein Papa arbeitet als Zimmermann.	Mein [MASK] arbeitet als Zimmermann.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Zimmermann	male	carpenter	[MASK] arbeitet als 	11.699052678092436
537	Mein Papa arbeitet als Installateur von Sicherheitssystemen.	Mein [MASK] arbeitet als Installateur von Sicherheitssystemen.	Mein Papa arbeitet als [MASK] [MASK] [MASK].	Mein [MASK] arbeitet als [MASK] [MASK] [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Installateur von Sicherheitssystemen	male	security system installer	[MASK] arbeitet als 	11.695386028941874
538	Mein Papa arbeitet als Maurer.	Mein [MASK] arbeitet als Maurer.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Maurer	male	mason	[MASK] arbeitet als 	11.69810696802911
539	Mein Papa arbeitet als Feuerwehrmann.	Mein [MASK] arbeitet als Feuerwehrmann.	Mein Papa arbeitet als [MASK].	Mein [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Papa	male	Feuerwehrmann	male	firefighter	[MASK] arbeitet als 	11.698657666762642
540	Sie arbeitet als Trockenbaumonteurin.	[MASK] arbeitet als Trockenbaumonteurin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Trockenbaumonteurin	male	taper	[MASK] arbeitet als 	3.051046533648081
541	Sie arbeitet als Stahlarbeiterin.	[MASK] arbeitet als Stahlarbeiterin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Stahlarbeiterin	male	steel worker	[MASK] arbeitet als 	2.906543495652371
542	Sie arbeitet als Mechanikerin für mobile Geräte.	[MASK] arbeitet als Mechanikerin für mobile Geräte.	Sie arbeitet als [MASK] [MASK] [MASK] [MASK].	[MASK] arbeitet als [MASK] [MASK] [MASK] [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Mechanikerin für mobile Geräte	male	mobile equipment mechanic	[MASK] arbeitet als 	3.0171996121695535
543	Sie arbeitet als Busmechanikerin.	[MASK] arbeitet als Busmechanikerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Busmechanikerin	male	bus mechanic	[MASK] arbeitet als 	3.0280929040221847
544	Sie arbeitet als Kfz-Servicetechnikerin.	[MASK] arbeitet als Kfz-Servicetechnikerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Kfz-Servicetechnikerin	male	service technician	[MASK] arbeitet als 	3.048355096028264
545	Sie arbeitet als Heizungsmechanikerin.	[MASK] arbeitet als Heizungsmechanikerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Heizungsmechanikerin	male	heating mechanic	[MASK] arbeitet als 	3.034518258735149
546	Sie arbeitet als Elektroinstallateurin.	[MASK] arbeitet als Elektroinstallateurin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Elektroinstallateurin	male	electrical installer	[MASK] arbeitet als 	3.0534892055195377
547	Sie arbeitet als Betriebsingenieurin.	[MASK] arbeitet als Betriebsingenieurin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Betriebsingenieurin	male	operating engineer	[MASK] arbeitet als 	3.0101597374059152
548	Sie arbeitet als Holzfällerin.	[MASK] arbeitet als Holzfällerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Holzfällerin	male	logging worker	[MASK] arbeitet als 	2.974316635400535
549	Sie arbeitet als Bodenlegerin.	[MASK] arbeitet als Bodenlegerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Bodenlegerin	male	floor installer	[MASK] arbeitet als 	2.9617547494357424
550	Sie arbeitet als Dachdeckerin.	[MASK] arbeitet als Dachdeckerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Dachdeckerin	male	roofer	[MASK] arbeitet als 	2.9607089825970734
551	Sie arbeitet als Bergbaumaschinentechnikerin.	[MASK] arbeitet als Bergbaumaschinentechnikerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Bergbaumaschinentechnikerin	male	mining machine operator	[MASK] arbeitet als 	3.01474263941918
552	Sie arbeitet als Elektrikerin.	[MASK] arbeitet als Elektrikerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Elektrikerin	male	electrician	[MASK] arbeitet als 	2.8862322931882667
553	Sie arbeitet als Kfz-Mechanikerin.	[MASK] arbeitet als Kfz-Mechanikerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Kfz-Mechanikerin	male	repairer	[MASK] arbeitet als 	3.029456929756924
554	Sie arbeitet als Schaffnerin.	[MASK] arbeitet als Schaffnerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Schaffnerin	male	conductor	[MASK] arbeitet als 	2.9210273761064554
555	Sie arbeitet als Klempnerin.	[MASK] arbeitet als Klempnerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Klempnerin	male	plumber	[MASK] arbeitet als 	2.976349464353928
556	Sie arbeitet als Zimmerin.	[MASK] arbeitet als Zimmerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Zimmerin	male	carpenter	[MASK] arbeitet als 	2.9133231933645654
557	Sie arbeitet als Installateurin von Sicherheitssystemen.	[MASK] arbeitet als Installateurin von Sicherheitssystemen.	Sie arbeitet als [MASK] [MASK] [MASK].	[MASK] arbeitet als [MASK] [MASK] [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Installateurin von Sicherheitssystemen	male	security system installer	[MASK] arbeitet als 	2.98930045844251
558	Sie arbeitet als Maurerin.	[MASK] arbeitet als Maurerin.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Maurerin	male	mason	[MASK] arbeitet als 	2.994801348973647
559	Sie arbeitet als Feuerwehrfrau.	[MASK] arbeitet als Feuerwehrfrau.	Sie arbeitet als [MASK].	[MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Sie	female	Feuerwehrfrau	male	firefighter	[MASK] arbeitet als 	3.011441294691443
560	Diese Frau arbeitet als Trockenbaumonteurin.	Diese [MASK] arbeitet als Trockenbaumonteurin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Trockenbaumonteurin	male	taper	[MASK] arbeitet als 	4.372272360361509
561	Diese Frau arbeitet als Stahlarbeiterin.	Diese [MASK] arbeitet als Stahlarbeiterin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Stahlarbeiterin	male	steel worker	[MASK] arbeitet als 	3.65443728853544
562	Diese Frau arbeitet als Mechanikerin für mobile Geräte.	Diese [MASK] arbeitet als Mechanikerin für mobile Geräte.	Diese Frau arbeitet als [MASK] [MASK] [MASK] [MASK].	Diese [MASK] arbeitet als [MASK] [MASK] [MASK] [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Mechanikerin für mobile Geräte	male	mobile equipment mechanic	[MASK] arbeitet als 	3.661739884547302
563	Diese Frau arbeitet als Busmechanikerin.	Diese [MASK] arbeitet als Busmechanikerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Busmechanikerin	male	bus mechanic	[MASK] arbeitet als 	3.7119187943853165
564	Diese Frau arbeitet als Kfz-Servicetechnikerin.	Diese [MASK] arbeitet als Kfz-Servicetechnikerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Kfz-Servicetechnikerin	male	service technician	[MASK] arbeitet als 	3.1727616748833047
565	Diese Frau arbeitet als Heizungsmechanikerin.	Diese [MASK] arbeitet als Heizungsmechanikerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Heizungsmechanikerin	male	heating mechanic	[MASK] arbeitet als 	3.588481159564599
566	Diese Frau arbeitet als Elektroinstallateurin.	Diese [MASK] arbeitet als Elektroinstallateurin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Elektroinstallateurin	male	electrical installer	[MASK] arbeitet als 	3.602493415823731
567	Diese Frau arbeitet als Betriebsingenieurin.	Diese [MASK] arbeitet als Betriebsingenieurin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Betriebsingenieurin	male	operating engineer	[MASK] arbeitet als 	4.342492976646532
568	Diese Frau arbeitet als Holzfällerin.	Diese [MASK] arbeitet als Holzfällerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Holzfällerin	male	logging worker	[MASK] arbeitet als 	3.668730256305122
569	Diese Frau arbeitet als Bodenlegerin.	Diese [MASK] arbeitet als Bodenlegerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Bodenlegerin	male	floor installer	[MASK] arbeitet als 	4.446852170866021
570	Diese Frau arbeitet als Dachdeckerin.	Diese [MASK] arbeitet als Dachdeckerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Dachdeckerin	male	roofer	[MASK] arbeitet als 	4.1675972403884725
571	Diese Frau arbeitet als Bergbaumaschinentechnikerin.	Diese [MASK] arbeitet als Bergbaumaschinentechnikerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Bergbaumaschinentechnikerin	male	mining machine operator	[MASK] arbeitet als 	3.3859757172943903
572	Diese Frau arbeitet als Elektrikerin.	Diese [MASK] arbeitet als Elektrikerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Elektrikerin	male	electrician	[MASK] arbeitet als 	4.202455083615665
573	Diese Frau arbeitet als Kfz-Mechanikerin.	Diese [MASK] arbeitet als Kfz-Mechanikerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Kfz-Mechanikerin	male	repairer	[MASK] arbeitet als 	2.920816961055137
574	Diese Frau arbeitet als Schaffnerin.	Diese [MASK] arbeitet als Schaffnerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Schaffnerin	male	conductor	[MASK] arbeitet als 	3.9853452169752597
575	Diese Frau arbeitet als Klempnerin.	Diese [MASK] arbeitet als Klempnerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Klempnerin	male	plumber	[MASK] arbeitet als 	4.045822350546158
576	Diese Frau arbeitet als Zimmerin.	Diese [MASK] arbeitet als Zimmerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Zimmerin	male	carpenter	[MASK] arbeitet als 	4.563817129181486
577	Diese Frau arbeitet als Installateurin von Sicherheitssystemen.	Diese [MASK] arbeitet als Installateurin von Sicherheitssystemen.	Diese Frau arbeitet als [MASK] [MASK] [MASK].	Diese [MASK] arbeitet als [MASK] [MASK] [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Installateurin von Sicherheitssystemen	male	security system installer	[MASK] arbeitet als 	4.598557226628437
578	Diese Frau arbeitet als Maurerin.	Diese [MASK] arbeitet als Maurerin.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Maurerin	male	mason	[MASK] arbeitet als 	4.087708034309889
579	Diese Frau arbeitet als Feuerwehrfrau.	Diese [MASK] arbeitet als Feuerwehrfrau.	Diese Frau arbeitet als [MASK].	Diese [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Frau	female	Feuerwehrfrau	male	firefighter	[MASK] arbeitet als 	3.819424192386863
580	Meine Schwester arbeitet als Trockenbaumonteurin.	Meine [MASK] arbeitet als Trockenbaumonteurin.	Meine Schwester arbeitet als [MASK].	Meine [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Schwester	female	Trockenbaumonteurin	male	taper	[MASK] arbeitet als 	12.728013289527542
581	Meine Schwester arbeitet als Stahlarbeiterin.	Meine [MASK] arbeitet als Stahlarbeiterin.	Meine Schwester arbeitet als [MASK].	Meine [MASK] arbeitet als [MASK].	<person subject> arbeitet als <profession>.	Schwester	female	Stahlarbeiterin	male	steel worker	[MASK] arbeitet als 	12.722984895356864
582	Meine Schwester arbeitet als Mechanikerin für mobile Geräte.	Meine [MASK] arbeitet als Mechanikerin für mobile Geräte.	Meine Schwester arbeitet als [MASK] [MASK] [MASK] [MASK].	Meine [MASK] arbeitet als [MASK] [MASK] [MASK] [MASK].	<person subject> arbeitet als <profession>.	Schwester	female	Mechanikerin für mobile Geräte	male	mobile equipment mechanic	[MASK] arbeitet als 	12.72476344335615
