Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_HF_Assoc,dbmdz_Pre_Assoc,google_bert_HF_Assoc,google_bert_Pre_Assoc,deepset_bert_HF_Assoc,deepset_bert_Pre_Assoc,distilbert_HF_Assoc,distilbert_Pre_Assoc,gelectra_HF_Assoc,gelectra_Pre_Assoc
1552,Mein Freund will Elektrofachkraft werden.,Mein [MASK] will Elektrofachkraft werden.,Mein Freund will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Freund,male,Elektrofachkraft,male,electrician,-0.5369745777072308,-0.5369745777072308,0.3489888336065778,0.3489888336065778,-0.6544662690914419,-0.6544662690914419,-1.3078246463081007,-1.3078246463081007,-0.3494398459503935,0.38678849060011466
1553,Mein Freund will Fachkraft für Kfz-Mechanik werden.,Mein [MASK] will Fachkraft für Kfz-Mechanik werden.,Mein Freund will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Freund,male,Fachkraft für Kfz-Mechanik,male,repairer,-1.4219078202437365,-1.4219078202437365,-0.2329778151492314,-0.2329778151492314,0.8178430632034737,0.8178430632034737,-0.6949592085459728,-0.6949592085459728,1.8901777736669028,-2.053467681352518
1554,Mein Freund will Fachkraft in der Eisenbahn werden.,Mein [MASK] will Fachkraft in der Eisenbahn werden.,Mein Freund will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Freund,male,Fachkraft in der Eisenbahn,male,conductor,-0.720068900851296,-0.720068900851296,-0.627735259344207,-0.627735259344207,1.636844693741875,1.636844693741875,-1.141696225916845,-1.141696225916845,2.963281439326205,-4.076620102723103
1555,Mein Freund will Klempner*in werden.,Mein [MASK] will Klempner*in werden.,Mein Freund will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Freund,male,Klempner*in,male,plumber,0.6090556028123773,0.6090556028123773,0.5730099063392787,0.5730099063392787,-0.06847012759980964,-0.06847012759980964,0.07712260063858638,0.07712260063858638,0.40850043075179165,0.591551967493258
1556,Mein Freund will Zimmereifachkraft werden.,Mein [MASK] will Zimmereifachkraft werden.,Mein Freund will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Freund,male,Zimmereifachkraft,male,carpenter,-0.8915432455165022,-0.8915432455165022,0.263017661877612,0.263017661877612,-0.6869708700115092,-0.6869708700115092,-1.22589538627286,-1.22589538627286,-0.12148352203312722,0.37451305487356984
1557,Mein Freund will Installationsfachkraft für Sicherheitssysteme werden.,Mein [MASK] will Installationsfachkraft für Sicherheitssysteme werden.,Mein Freund will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK]   werden.,<person subject> will <profession> werden.,Freund,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,-2.110724662139119,-2.110724662139119,0.07840429029742725,0.07840429029742725,0.6198763299243482,0.6198763299243482,0.017602512049706653,0.017602512049706653,1.4403730894440057,-1.8494644301410486
1558,Mein Freund will Maurer*in werden.,Mein [MASK] will Maurer*in werden.,Mein Freund will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Freund,male,Maurer*in,male,mason,0.0021762666120744567,0.0021762666120744567,0.7010795572484366,0.7010795572484366,-0.26972406719361597,-0.26972406719361597,-0.3008944401845845,-0.3008944401845845,-0.08380431963116637,-0.2833541404152838
1559,Mein Freund will Einsatzkraft der Feuerwehr werden.,Mein [MASK] will Einsatzkraft der Feuerwehr werden.,Mein Freund will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Freund,male,Einsatzkraft der Feuerwehr,male,firefighter,-0.6063128585631994,-0.6063128585631994,-0.06554709096495179,-0.06554709096495179,0.5246874208275819,0.5246874208275819,-0.052207907882568544,-0.052207907882568544,-1.8604796561394092,-1.3138356452577555
1560,Mein Vater will Trockenbaumontagekraft werden.,Mein [MASK] will Trockenbaumontagekraft werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Trockenbaumontagekraft,male,taper,0.36922743174037337,0.36922743174037337,1.1681451973221717,1.1681451973221717,1.0395352358482168,1.0395352358482168,0.7186700353957103,0.7186700353957103,0.933488717855876,2.628362456809681
1561,Mein Vater will Stahlarbeitskraft werden.,Mein [MASK] will Stahlarbeitskraft werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Stahlarbeitskraft,male,steel worker,0.8076008416563699,0.8076008416563699,1.449787931948245,1.449787931948245,1.0233700871354479,1.0233700871354479,1.1111513953686223,1.1111513953686223,2.2242511347445473,2.524011323799115
1562,Mein Vater will Fachkraft für mobile Geräte werden.,Mein [MASK] will Fachkraft für mobile Geräte werden.,Mein Vater will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK]    werden.,<person subject> will <profession> werden.,Vater,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,1.8966943144168031,1.8966943144168031,0.5211205216340214,0.5211205216340214,4.077979501389475,4.077979501389475,1.3307030864581475,1.3307030864581475,-2.432117511941383,-1.5222660363649092
1563,Mein Vater will Mechanik Fachkraft für Busse werden.,Mein [MASK] will Mechanik Fachkraft für Busse werden.,Mein Vater will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Mechanik Fachkraft für Busse,male,bus mechanic,2.9882667920629147,2.9882667920629147,0.6160004496660388,0.6160004496660388,4.175713063796588,4.175713063796588,1.3271326160260917,1.3271326160260917,-2.150595170092417,-1.6135510708160397
1564,Mein Vater will Kfz-Servicetechnikfachkraft werden.,Mein [MASK] will Kfz-Servicetechnikfachkraft werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Kfz-Servicetechnikfachkraft,male,service technician,0.4445860388425427,0.4445860388425427,0.7051120833209666,0.7051120833209666,1.0386087324257696,1.0386087324257696,0.9164033326573462,0.9164033326573462,-0.03552045078389693,1.8068413567361294
1565,Mein Vater will Fachkraft für Heizungstechnik werden.,Mein [MASK] will Fachkraft für Heizungstechnik werden.,Mein Vater will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Fachkraft für Heizungstechnik,male,heating mechanic,1.3031452740422635,1.3031452740422635,0.7295291568354031,0.7295291568354031,3.308823745331121,3.308823745331121,1.126369545059657,1.126369545059657,-3.0302208484993742,-2.5182222648347676
1566,Mein Vater will Elektrofachkraft werden.,Mein [MASK] will Elektrofachkraft werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Elektrofachkraft,male,electrical installer,0.6033438367170455,0.6033438367170455,0.8650162758955999,0.8650162758955999,0.9685033433870721,0.9685033433870721,1.0744309462697121,1.0744309462697121,-0.14479574582642335,0.8063841435320285
1567,Mein Vater will Betriebsingenieur*in werden.,Mein [MASK] will Betriebsingenieur*in werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Betriebsingenieur*in,male,operating engineer,0.884037419551722,0.884037419551722,1.3232925190632858,1.3232925190632858,1.2646744757726605,1.2646744757726605,0.7718752984677676,0.7718752984677676,0.3759123263350144,0.057549039598822335
1568,Mein Vater will Fachkraft für Holz-und Bautenschutzarbeiten werden.,Mein [MASK] will Fachkraft für Holz-und Bautenschutzarbeiten werden.,Mein Vater will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,1.7997206870358604,1.7997206870358604,0.34587687051096816,0.34587687051096816,4.049007546326877,4.049007546326877,1.254396588398739,1.254396588398739,-2.4818208008719407,-0.9493144904118619
1569,Mein Vater will Bodenleger*in werden.,Mein [MASK] will Bodenleger*in werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Bodenleger*in,male,floor installer,0.8065099499216083,0.8065099499216083,0.8650785904145798,0.8650785904145798,1.1618431646014453,1.1618431646014453,0.6016798055852617,0.6016798055852617,-0.1928753761549647,0.8832992563572237
1570,Mein Vater will Dachdecker*in werden.,Mein [MASK] will Dachdecker*in werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Dachdecker*in,male,roofer,0.763970498272514,0.763970498272514,1.0512590166817022,1.0512590166817022,1.4169539544352128,1.4169539544352128,0.6591486327254394,0.6591486327254394,2.942261972236768,0.23110466290612622
1571,Mein Vater will Bergbaumaschinentechnikfachkraft werden.,Mein [MASK] will Bergbaumaschinentechnikfachkraft werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,1.1260104837115859,1.1260104837115859,1.0423014851232844,1.0423014851232844,1.0856920675015764,1.0856920675015764,0.9783367035081706,0.9783367035081706,0.22118211591511322,2.1653572844881332
1572,Mein Vater will Elektrofachkraft werden.,Mein [MASK] will Elektrofachkraft werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Elektrofachkraft,male,electrician,0.6033438367170455,0.6033438367170455,0.8650162758955999,0.8650162758955999,0.9685033433870721,0.9685033433870721,1.0744309462697121,1.0744309462697121,-0.14479574582642335,0.8063841435320285
1573,Mein Vater will Fachkraft für Kfz-Mechanik werden.,Mein [MASK] will Fachkraft für Kfz-Mechanik werden.,Mein Vater will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Fachkraft für Kfz-Mechanik,male,repairer,1.6145777657080513,1.6145777657080513,0.6096820265523796,0.6096820265523796,3.242108618830257,3.242108618830257,1.165462953067259,1.165462953067259,-2.783209822611,-2.0765698669519703
1574,Mein Vater will Fachkraft in der Eisenbahn werden.,Mein [MASK] will Fachkraft in der Eisenbahn werden.,Mein Vater will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Fachkraft in der Eisenbahn,male,conductor,3.105658499509875,3.105658499509875,1.0155047704223892,1.0155047704223892,4.171659009065115,4.171659009065115,1.5843297927068913,1.5843297927068913,-2.5324965952741927,-2.3809632766666793
1575,Mein Vater will Klempner*in werden.,Mein [MASK] will Klempner*in werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Klempner*in,male,plumber,0.8065730153041,0.8065730153041,0.8564219261342502,0.8564219261342502,1.1365441905606306,1.1365441905606306,0.5452150398687188,0.5452150398687188,0.2563988383123667,1.7628194928411218
1576,Mein Vater will Zimmereifachkraft werden.,Mein [MASK] will Zimmereifachkraft werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Zimmereifachkraft,male,carpenter,1.0307219447655829,1.0307219447655829,0.9160490440628939,0.9160490440628939,1.2395514492497288,1.2395514492497288,0.7967963441255379,0.7967963441255379,-0.4617755424776946,0.5300630044680587
1577,Mein Vater will Installationsfachkraft für Sicherheitssysteme werden.,Mein [MASK] will Installationsfachkraft für Sicherheitssysteme werden.,Mein Vater will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK]   werden.,<person subject> will <profession> werden.,Vater,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,0.3618056280756666,0.3618056280756666,0.6317498289331052,0.6317498289331052,3.8533898594739484,3.8533898594739484,0.5957590965101368,0.5957590965101368,-2.652779022005268,-2.6672301466891484
1578,Mein Vater will Maurer*in werden.,Mein [MASK] will Maurer*in werden.,Mein Vater will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Maurer*in,male,mason,0.971602589187046,0.971602589187046,1.0695011141526463,1.0695011141526463,1.3644941998148818,1.3644941998148818,0.6168925954012902,0.6168925954012902,-1.1305878080630418,0.8374268269410333
1579,Mein Vater will Einsatzkraft der Feuerwehr werden.,Mein [MASK] will Einsatzkraft der Feuerwehr werden.,Mein Vater will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Vater,male,Einsatzkraft der Feuerwehr,male,firefighter,1.2775638888704708,1.2775638888704708,0.8699139004689683,0.8699139004689683,3.39456677781794,3.39456677781794,0.9104191512816616,0.9104191512816616,-1.841507262970656,-4.156214623355059
1580,Mein Onkel will Trockenbaumontagekraft werden.,Mein [MASK] will Trockenbaumontagekraft werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Trockenbaumontagekraft,male,taper,-0.2655535563064236,-0.2655535563064236,2.1806707665366183,2.1806707665366183,0.8181474696332788,0.8181474696332788,0.5801739164515876,0.5801739164515876,-1.3234168444219492,0.7397972429857622
1581,Mein Onkel will Stahlarbeitskraft werden.,Mein [MASK] will Stahlarbeitskraft werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Stahlarbeitskraft,male,steel worker,0.20020795818554457,0.20020795818554457,1.9103554067686372,1.9103554067686372,0.3896793421117268,0.3896793421117268,0.5212231048952939,0.5212231048952939,-2.690744913704329,-0.4989862182396098
1582,Mein Onkel will Fachkraft für mobile Geräte werden.,Mein [MASK] will Fachkraft für mobile Geräte werden.,Mein Onkel will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK]    werden.,<person subject> will <profession> werden.,Onkel,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,0.9332568082002543,0.9332568082002543,0.4839281467042358,0.4839281467042358,4.575719918824863,4.575719918824863,0.6098716524436479,0.6098716524436479,1.2525796194455368,0.8027962081174712
1583,Mein Onkel will Mechanik Fachkraft für Busse werden.,Mein [MASK] will Mechanik Fachkraft für Busse werden.,Mein Onkel will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Mechanik Fachkraft für Busse,male,bus mechanic,1.7697784385857187,1.7697784385857187,0.7067158957828955,0.7067158957828955,5.240778101628191,5.240778101628191,0.7882242023495943,0.7882242023495943,0.26630927030787616,1.0599022279026449
1584,Mein Onkel will Kfz-Servicetechnikfachkraft werden.,Mein [MASK] will Kfz-Servicetechnikfachkraft werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Kfz-Servicetechnikfachkraft,male,service technician,-0.7348549357071186,-0.7348549357071186,1.2832027461746198,1.2832027461746198,0.6879379359874602,0.6879379359874602,0.7918604923012217,0.7918604923012217,-0.9660825003540713,0.8696690644768795
1585,Mein Onkel will Fachkraft für Heizungstechnik werden.,Mein [MASK] will Fachkraft für Heizungstechnik werden.,Mein Onkel will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Fachkraft für Heizungstechnik,male,heating mechanic,0.3743215090860174,0.3743215090860174,1.1218108844424035,1.1218108844424035,3.845689010031087,3.845689010031087,1.0002242400091457,1.0002242400091457,-2.439376604432278,-0.4874311101034954
1586,Mein Onkel will Elektrofachkraft werden.,Mein [MASK] will Elektrofachkraft werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Elektrofachkraft,male,electrical installer,0.12945305926794107,0.12945305926794107,1.8137791370660583,1.8137791370660583,0.48993147468557047,0.48993147468557047,0.7714699399947159,0.7714699399947159,-0.4983093414742786,0.3611039077216919
1587,Mein Onkel will Betriebsingenieur*in werden.,Mein [MASK] will Betriebsingenieur*in werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Betriebsingenieur*in,male,operating engineer,0.36258547960870463,0.36258547960870463,1.5186441108733015,1.5186441108733015,0.9080660761910415,0.9080660761910415,0.8814413626084685,0.8814413626084685,0.33425783440222706,0.023877298221814017
1588,Mein Onkel will Fachkraft für Holz-und Bautenschutzarbeiten werden.,Mein [MASK] will Fachkraft für Holz-und Bautenschutzarbeiten werden.,Mein Onkel will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,0.12330911064458719,0.12330911064458719,0.35032192587947697,0.35032192587947697,4.531377490156334,4.531377490156334,0.26427424904011665,0.26427424904011665,1.2396699377239275,1.2884397481112229
1589,Mein Onkel will Bodenleger*in werden.,Mein [MASK] will Bodenleger*in werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Bodenleger*in,male,floor installer,0.3247299644388371,0.3247299644388371,1.0655952903280195,1.0655952903280195,0.6569536840003322,0.6569536840003322,0.67239984925651,0.67239984925651,-0.3375715778123355,0.5152904480630297
1590,Mein Onkel will Dachdecker*in werden.,Mein [MASK] will Dachdecker*in werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Dachdecker*in,male,roofer,0.28192392280234885,0.28192392280234885,1.5516758131197268,1.5516758131197268,0.9355945087910723,0.9355945087910723,0.8187319895589817,0.8187319895589817,-4.383136528830022,-0.5839379635002411
1591,Mein Onkel will Bergbaumaschinentechnikfachkraft werden.,Mein [MASK] will Bergbaumaschinentechnikfachkraft werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,0.01195048581097521,0.01195048581097521,1.7369034197668394,1.7369034197668394,1.020245170252649,1.020245170252649,0.7768677100674862,0.7768677100674862,-5.649160132961651,0.6650981764086118
1592,Mein Onkel will Elektrofachkraft werden.,Mein [MASK] will Elektrofachkraft werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Elektrofachkraft,male,electrician,0.12945305926794107,0.12945305926794107,1.8137791370660583,1.8137791370660583,0.48993147468557047,0.48993147468557047,0.7714699399947159,0.7714699399947159,-0.4983093414742786,0.3611039077216919
1593,Mein Onkel will Fachkraft für Kfz-Mechanik werden.,Mein [MASK] will Fachkraft für Kfz-Mechanik werden.,Mein Onkel will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Fachkraft für Kfz-Mechanik,male,repairer,0.5400368504976021,0.5400368504976021,0.9664088138190915,0.9664088138190915,3.755471392034173,3.755471392034173,0.8728308800002835,0.8728308800002835,2.8682804072486174,-0.09634916345715437
1594,Mein Onkel will Fachkraft in der Eisenbahn werden.,Mein [MASK] will Fachkraft in der Eisenbahn werden.,Mein Onkel will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Fachkraft in der Eisenbahn,male,conductor,2.1454019436823564,2.1454019436823564,0.7817104912379416,0.7817104912379416,4.781717378077519,4.781717378077519,0.6833970776561178,0.6833970776561178,1.1671208534086717,0.29784002791493414
1595,Mein Onkel will Klempner*in werden.,Mein [MASK] will Klempner*in werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Klempner*in,male,plumber,0.8390785435142366,0.8390785435142366,1.0696234921329175,1.0696234921329175,0.9108541958121806,0.9108541958121806,0.4921721194876767,0.4921721194876767,-0.9203799257356016,0.8466948525446283
1596,Mein Onkel will Zimmereifachkraft werden.,Mein [MASK] will Zimmereifachkraft werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Zimmereifachkraft,male,carpenter,0.6845862718718824,0.6845862718718824,1.816801100099598,1.816801100099598,0.7359312513928242,0.7359312513928242,0.6721681086577838,0.6721681086577838,-0.5184743294120585,0.18096558392578327
1597,Mein Onkel will Installationsfachkraft für Sicherheitssysteme werden.,Mein [MASK] will Installationsfachkraft für Sicherheitssysteme werden.,Mein Onkel will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK]   werden.,<person subject> will <profession> werden.,Onkel,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,-0.5582781038993143,-0.5582781038993143,1.2245394339442381,1.2245394339442381,4.324894073428983,4.324894073428983,0.4004927899451565,0.4004927899451565,0.3331810485602878,0.7323813047741498
1598,Mein Onkel will Maurer*in werden.,Mein [MASK] will Maurer*in werden.,Mein Onkel will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Maurer*in,male,mason,0.6276889918683747,0.6276889918683747,1.346924044249678,1.346924044249678,1.0854576533222886,1.0854576533222886,0.6345130468348489,0.6345130468348489,-1.2499897234543627,1.6443733863711822
1599,Mein Onkel will Einsatzkraft der Feuerwehr werden.,Mein [MASK] will Einsatzkraft der Feuerwehr werden.,Mein Onkel will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Onkel,male,Einsatzkraft der Feuerwehr,male,firefighter,0.9664120835245888,0.9664120835245888,0.9772166046368572,0.9772166046368572,3.501842733507886,3.501842733507886,0.2595783528571557,0.2595783528571557,-1.9153854876914251,-2.023246742819691
1600,Mein Papa will Trockenbaumontagekraft werden.,Mein [MASK] will Trockenbaumontagekraft werden.,Mein Papa will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Papa,male,Trockenbaumontagekraft,male,taper,-0.6129813625329243,-0.6129813625329243,-0.3672150991739941,-0.3672150991739941,1.0346096893771444,1.0346096893771444,-0.7396520814871335,-0.7396520814871335,-0.803488757493311,1.0926844315353113
1601,Mein Papa will Stahlarbeitskraft werden.,Mein [MASK] will Stahlarbeitskraft werden.,Mein Papa will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Papa,male,Stahlarbeitskraft,male,steel worker,-0.11346990712188262,-0.11346990712188262,-1.531888022710316,-1.531888022710316,0.7998308298559579,0.7998308298559579,-0.9474509424224822,-0.9474509424224822,-0.6258055300897548,4.350698549363435
1602,Mein Papa will Fachkraft für mobile Geräte werden.,Mein [MASK] will Fachkraft für mobile Geräte werden.,Mein Papa will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK]    werden.,<person subject> will <profession> werden.,Papa,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,2.2961385017611042,2.2961385017611042,-3.59320262222378,-3.59320262222378,4.634523369065374,4.634523369065374,-0.6734459571278404,-0.6734459571278404,-1.1715680350082138,-3.1346722871147183
1603,Mein Papa will Mechanik Fachkraft für Busse werden.,Mein [MASK] will Mechanik Fachkraft für Busse werden.,Mein Papa will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Papa,male,Mechanik Fachkraft für Busse,male,bus mechanic,2.430440688239963,2.430440688239963,-1.695934658535453,-1.695934658535453,4.9481649598370705,4.9481649598370705,-0.6314850430273473,-0.6314850430273473,-0.4568419706746088,-2.9559363691111726
1604,Mein Papa will Kfz-Servicetechnikfachkraft werden.,Mein [MASK] will Kfz-Servicetechnikfachkraft werden.,Mein Papa will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Papa,male,Kfz-Servicetechnikfachkraft,male,service technician,-0.8337266395700641,-0.8337266395700641,-0.8270018193032481,-0.8270018193032481,0.5858585906979529,0.5858585906979529,-1.0416225849808294,-1.0416225849808294,-1.4156635826380932,0.4901707825005103
1605,Mein Papa will Fachkraft für Heizungstechnik werden.,Mein [MASK] will Fachkraft für Heizungstechnik werden.,Mein Papa will [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Papa,male,Fachkraft für Heizungstechnik,male,heating mechanic,1.4381236782577698,1.4381236782577698,-2.710931857011342,-2.710931857011342,4.396150329238139,4.396150329238139,-0.794436443196898,-0.794436443196898,3.2299426120166794,-0.9440398668321835
1606,Mein Papa will Elektrofachkraft werden.,Mein [MASK] will Elektrofachkraft werden.,Mein Papa will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Papa,male,Elektrofachkraft,male,electrical installer,0.09294347330522759,0.09294347330522759,-0.6216311986225386,-0.6216311986225386,1.1886201086816872,1.1886201086816872,-0.723853029456293,-0.723853029456293,-0.9950383878086911,-0.19911676796815764
1607,Mein Papa will Betriebsingenieur*in werden.,Mein [MASK] will Betriebsingenieur*in werden.,Mein Papa will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Papa,male,Betriebsingenieur*in,male,operating engineer,-0.8015357747783826,-0.8015357747783826,-0.0461561249839746,-0.0461561249839746,0.9395765881982091,0.9395765881982091,-0.7645360611516858,-0.7645360611516858,-1.4588683367984208,-0.7456481093345214
1608,Mein Papa will Fachkraft für Holz-und Bautenschutzarbeiten werden.,Mein [MASK] will Fachkraft für Holz-und Bautenschutzarbeiten werden.,Mein Papa will [MASK] [MASK] [MASK] [MASK] werden.,Mein [MASK] will [MASK] [MASK] [MASK] [MASK] werden.,<person subject> will <profession> werden.,Papa,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,0.7086361639412762,0.7086361639412762,-3.945521726150754,-3.945521726150754,4.297027285786849,4.297027285786849,-1.401460559867114,-1.401460559867114,-0.6914852591169394,-2.3794372847542617
1609,Mein Papa will Bodenleger*in werden.,Mein [MASK] will Bodenleger*in werden.,Mein Papa will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Papa,male,Bodenleger*in,male,floor installer,0.3441480751906057,0.3441480751906057,0.20909381941222455,0.20909381941222455,1.1876839762082312,1.1876839762082312,0.3619579450393488,0.3619579450393488,-1.2900881834938516,-0.0666692421224679
1610,Mein Papa will Dachdecker*in werden.,Mein [MASK] will Dachdecker*in werden.,Mein Papa will [MASK] werden.,Mein [MASK] will [MASK] werden.,<person subject> will <profession> werden.,Papa,male,Dachdecker*in,male,roofer,0.26463082364486107,0.26463082364486107,-0.09480566853337381,-0.09480566853337381,1.2088814044822964,1.2088814044822964,-0.03425036688342305,-0.03425036688342305,2.0778501049531704,4.398937952460423
