Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_Pre_Assoc_Avg,dbmdz_Post_Assoc_Avg,google_bert_Pre_Assoc_Avg,google_bert_Post_Assoc_Avg,deepset_bert_Pre_Assoc_Avg,deepset_bert_Post_Assoc_Avg,distilbert_Pre_Assoc_Avg,distilbert_Post_Assoc_Avg,gelectra_Pre_Assoc_Avg,gelectra_Post_Assoc_Avg
327,Meine Tante ist Betriebsingenieur*in.,Meine [MASK] ist Betriebsingenieur*in.,Meine Tante ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Tante,female,Betriebsingenieur*in,male,operating engineer,-1.4338651742371047,-2.088461207842653,1.373367066694416,1.6965681142201439,-0.1672022630920467,-0.9960430934938462,1.1848580217399352,-0.9212136029632096,-0.1525752659883038,0.06751145617330756
328,Meine Tante ist Fachkraft für Holz-und Bautenschutzarbeiten.,Meine [MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Meine Tante ist [MASK] [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Tante,female,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,-1.1499347716660642,-2.84723887228748,0.0247156050080823,0.9841596798587351,5.469085173725158,-2.7092143315304793,0.2030193854673985,-2.655400077938079,-0.3868772564743815,0.11937534170406246
329,Meine Tante ist Bodenleger*in.,Meine [MASK] ist Bodenleger*in.,Meine Tante ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Tante,female,Bodenleger*in,male,floor installer,-0.1875451740595065,-1.2945209743760508,1.6598057422038164,2.197101973915621,0.5398065661827737,-0.30075094076975134,1.7444004948904452,-0.6544118008312191,0.6644235476532161,0.09357386323303676
330,Meine Tante ist Dachdecker*in.,Meine [MASK] ist Dachdecker*in.,Meine Tante ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Tante,female,Dachdecker*in,male,roofer,-0.7901649398623496,-1.4666004264632888,1.4673251146521673,2.2399059116712023,0.5822601828165653,-0.6490331786485285,1.6124779008103711,-0.6572557384740023,-0.4121843172489048,0.004270689564673191
331,Meine Tante ist Bergbaumaschinentechnikfachkraft.,Meine [MASK] ist Bergbaumaschinentechnikfachkraft.,Meine Tante ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Tante,female,Bergbaumaschinentechnikfachkraft,male,mining machine operator,-0.7245154737259113,-1.9310027260986804,1.22626311111283,1.512211102318929,0.9458956804896662,-0.5510374091171631,1.546635321369329,-1.2138464185139048,0.18999677436560064,0.15020730833960583
332,Meine Tante ist Elektrofachkraft.,Meine [MASK] ist Elektrofachkraft.,Meine Tante ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Tante,female,Elektrofachkraft,male,electrician,-0.3845630689680859,-1.948804716426876,1.1772343241137315,0.5690430627325502,0.9417350182833732,-0.6439764379649203,1.7786017182211302,-0.8495161509466393,-0.5041325744584049,0.1285679923110193
333,Meine Tante ist Fachkraft für Kfz-Mechanik.,Meine [MASK] ist Fachkraft für Kfz-Mechanik.,Meine Tante ist [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Tante,female,Fachkraft für Kfz-Mechanik,male,repairer,1.1867769073204126,-2.357759836137328,0.6969667386893558,1.220093233760786,5.243901394104029,-2.414948854843536,1.0757292429332082,-2.060694330278853,0.08325119617858173,0.1803938618468988
334,Meine Tante ist Fachkraft in der Eisenbahn.,Meine [MASK] ist Fachkraft in der Eisenbahn.,Meine Tante ist [MASK] [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Tante,female,Fachkraft in der Eisenbahn,male,conductor,1.9508459592486755,-2.1978527617339125,0.4590325864850756,0.8376478965179299,7.419809855592425,-1.8361999322732043,1.418206494543646,-1.691936249313759,0.2709997199246401,0.048766886676027424
335,Meine Tante ist Klempner*in.,Meine [MASK] ist Klempner*in.,Meine Tante ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Tante,female,Klempner*in,male,plumber,-0.1473826991688082,-1.042498099245939,1.5384336528819418,2.238282858071508,1.4463220386816982,0.21716067154993154,1.8086214231653592,-0.48285984002535454,-0.20853853323572819,-0.09475242017553384
336,Meine Tante ist Zimmereifachkraft.,Meine [MASK] ist Zimmereifachkraft.,Meine Tante ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Tante,female,Zimmereifachkraft,male,carpenter,-0.3645990343756083,-1.5236024585881323,1.096708472118984,0.9113463821289617,1.1418374230361124,0.5192916919580628,2.238497909809184,0.41719320104785573,-0.3003972117896201,0.030649884115651366
337,Meine Tante ist Installationsfachkraft für Sicherheitssysteme.,Meine [MASK] ist Installationsfachkraft für Sicherheitssysteme.,Meine Tante ist [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK]  .,<person subject> ist <profession>.,Tante,female,Installationsfachkraft für Sicherheitssysteme,male,security system installer,1.2987595236867564,-3.101328508064658,0.5246899108774001,1.3329615814341116,4.812368115245973,-1.1892449643201395,0.8963711059709609,-1.5753196525887398,0.3982047341718454,0.2480724155352505
338,Meine Tante ist Maurer*in.,Meine [MASK] ist Maurer*in.,Meine Tante ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Tante,female,Maurer*in,male,mason,0.0124767282561351,-1.0101148840040732,1.9129996100271267,2.0069583809807883,1.7105823787446015,0.2902916220577732,1.4387880544984042,-0.4629906676669175,-0.02788299682399409,-0.019693410708892634
339,Meine Tante ist Einsatzkraft der Feuerwehr.,Meine [MASK] ist Einsatzkraft der Feuerwehr.,Meine Tante ist [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Tante,female,Einsatzkraft der Feuerwehr,male,firefighter,1.3796406871252598,-2.294802579791651,0.3943067463260641,0.15272583471429102,5.5439086300029095,-1.4864473337272637,0.7398281110107968,-1.6322212690622147,0.35056531188932355,-0.07953330824365114
340,Meine Mama ist Trockenbaumontagekraft.,Meine [MASK] ist Trockenbaumontagekraft.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Trockenbaumontagekraft,male,taper,-0.0912228036695437,-1.3383644860544808,0.488322975605895,-0.867996622866914,1.4979777855630558,-0.9740804519017879,1.941170302914624,-1.0143484879620186,-0.8961989551876118,-0.9586416488042115
341,Meine Mama ist Stahlarbeitskraft.,Meine [MASK] ist Stahlarbeitskraft.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Stahlarbeitskraft,male,steel worker,-0.5898193715289793,-3.752727662229435,-0.0897067337561524,-2.366629702575102,1.986367942727292,-0.837042290835754,1.0591092320279067,-3.406209832449308,-0.6905137851631944,-0.2062600107980039
342,Meine Mama ist Fachkraft für mobile Geräte.,Meine [MASK] ist Fachkraft für mobile Geräte.,Meine Mama ist [MASK] [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Mama,female,Fachkraft für mobile Geräte,male,mobile equipment mechanic,4.454076356699265,-2.770875456298779,-1.5037440941806035,-1.932737468458385,5.891528357808167,-1.71041638792781,1.3380287708008418,-2.2615936213887338,-0.3115771160257734,0.0009171943473195165
343,Meine Mama ist Mechanik Fachkraft für Busse.,Meine [MASK] ist Mechanik Fachkraft für Busse.,Meine Mama ist [MASK] [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mama,female,Mechanik Fachkraft für Busse,male,bus mechanic,3.176001376035193,-2.8966750099775807,-0.4179526094674084,-1.7984807572668235,6.339745727763054,-0.6910046007744127,1.0103759408743438,-3.034054119938987,-0.1845810876528663,-0.4016357617556864
344,Meine Mama ist Kfz-Servicetechnikfachkraft.,Meine [MASK] ist Kfz-Servicetechnikfachkraft.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Kfz-Servicetechnikfachkraft,male,service technician,-2.9740459897012013,-3.8178829943805273,0.3319748968371118,-1.4253468697103142,1.0439767016733164,-1.2236478091893028,0.5779529165736776,-3.300366934173939,-1.520240889971164,-0.48434358606753924
345,Meine Mama ist Fachkraft für Heizungstechnik.,Meine [MASK] ist Fachkraft für Heizungstechnik.,Meine Mama ist [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mama,female,Fachkraft für Heizungstechnik,male,heating mechanic,1.2633245254925165,-3.4253545585151395,-1.2654755364626196,-2.5079523271333497,5.493307742815983,-1.4599298429711078,0.9800813733649524,-2.532861797881628,-0.21646217130766052,-0.30923143127171293
346,Meine Mama ist Elektrofachkraft.,Meine [MASK] ist Elektrofachkraft.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Elektrofachkraft,male,electrical installer,-0.3429175304804843,-3.1117563263606085,0.3491321586282151,-2.30323100556743,2.025406243519364,-0.7834786528096649,1.3559367185729176,-2.9392663254996396,-0.9304002192639318,-0.7407529141549545
347,Meine Mama ist Betriebsingenieur*in.,Meine [MASK] ist Betriebsingenieur*in.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Betriebsingenieur*in,male,operating engineer,-2.674902036203256,-4.020933194506738,-0.2945692900133063,-0.8132034888832109,1.1547243926820558,-0.9886107980459508,-0.3649823741129006,-3.7797397090958653,-0.7365491160168482,-0.7995075879537499
348,Meine Mama ist Fachkraft für Holz-und Bautenschutzarbeiten.,Meine [MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Meine Mama ist [MASK] [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mama,female,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,-0.7615336171510033,-3.6525714584086826,-1.704300186818637,-2.454258592672603,4.726523720860863,-1.9478965637575627,-0.4293506226963562,-2.7378837723667733,-0.43532364875408347,-0.04097066324442345
349,Meine Mama ist Bodenleger*in.,Meine [MASK] ist Bodenleger*in.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Bodenleger*in,male,floor installer,-0.0350426366718684,-2.2187262772399006,2.2099966696797573,1.1025867936977194,2.071759856131026,-0.30258138570218507,0.6278248524608079,-3.0470126337730497,-1.0770033493495863,-0.7497506959381105
350,Meine Mama ist Dachdecker*in.,Meine [MASK] ist Dachdecker*in.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Dachdecker*in,male,roofer,-1.55777212941902,-2.72814474314274,1.6238049968378534,0.01372451307657696,1.828151304716267,-0.39003348905084817,0.4692452040610773,-3.453207709484383,-0.7252491624854438,-0.9067063180878949
351,Meine Mama ist Bergbaumaschinentechnikfachkraft.,Meine [MASK] ist Bergbaumaschinentechnikfachkraft.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Bergbaumaschinentechnikfachkraft,male,mining machine operator,-2.017799868981171,-3.710312105182089,0.1508132337895786,-2.162768237153325,1.4042692461046684,-0.8623204395082145,0.5648902238664073,-3.16454350081557,-1.8555855045288931,-0.6012321498194861
352,Meine Mama ist Elektrofachkraft.,Meine [MASK] ist Elektrofachkraft.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Elektrofachkraft,male,electrician,-0.3429175304804843,-3.1117563263606085,0.3491321586282151,-2.30323100556743,2.025406243519364,-0.7834786528096649,1.3559367185729176,-2.9392663254996396,-0.9304002192639318,-0.7407529141549545
353,Meine Mama ist Fachkraft für Kfz-Mechanik.,Meine [MASK] ist Fachkraft für Kfz-Mechanik.,Meine Mama ist [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mama,female,Fachkraft für Kfz-Mechanik,male,repairer,1.090032873675695,-3.326805863112263,-1.174400276435805,-1.8734455509107835,5.515322801099874,-1.6387075871476633,0.4562417687532728,-2.7535885854978646,-0.3701594348418362,-0.21944301090468787
354,Meine Mama ist Fachkraft in der Eisenbahn.,Meine [MASK] ist Fachkraft in der Eisenbahn.,Meine Mama ist [MASK] [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mama,female,Fachkraft in der Eisenbahn,male,conductor,2.8717358007248075,-3.484000535300475,-2.324681126935165,-2.6269132068053653,6.439168442907538,-1.6593996366389674,0.6700480971730298,-3.032199966001413,-0.8475523980560671,-0.12072834503433792
355,Meine Mama ist Klempner*in.,Meine [MASK] ist Klempner*in.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Klempner*in,male,plumber,-0.2726058499110084,-2.284400933935475,2.226935910301132,0.9148950522081404,2.284527795851192,-0.1554264240478867,0.1803920202414855,-3.132530082513658,-0.17506622258191074,-0.8721925561960284
356,Meine Mama ist Zimmereifachkraft.,Meine [MASK] ist Zimmereifachkraft.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Zimmereifachkraft,male,carpenter,-0.3738234421352832,-1.9015753376882132,1.0316820924098216,-1.6736511867424624,1.6605651624359208,-0.775444585994949,1.966390420480911,-1.2239050430433316,-1.5998004075483738,-0.22761108045223094
357,Meine Mama ist Installationsfachkraft für Sicherheitssysteme.,Meine [MASK] ist Installationsfachkraft für Sicherheitssysteme.,Meine Mama ist [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK]  .,<person subject> ist <profession>.,Mama,female,Installationsfachkraft für Sicherheitssysteme,male,security system installer,2.2951717060046715,-2.267357327938111,-0.744855294545272,-1.542765206746705,4.293040221521559,-1.3506228826234048,0.7552926014211085,-2.293628124862144,-0.2299872057675691,0.41337638547851857
358,Meine Mama ist Maurer*in.,Meine [MASK] ist Maurer*in.,Meine Mama ist [MASK].,Meine [MASK] ist [MASK].,<person subject> ist <profession>.,Mama,female,Maurer*in,male,mason,-1.726025791623777,-1.7466870937889403,2.282431115541125,0.4406615025542471,2.648729487623919,-0.4192920762634277,-0.3530081037897936,-3.2350612210252216,-0.14666430152807652,-0.9593644083185038
359,Meine Mama ist Einsatzkraft der Feuerwehr.,Meine [MASK] ist Einsatzkraft der Feuerwehr.,Meine Mama ist [MASK] [MASK] [MASK].,Meine [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mama,female,Einsatzkraft der Feuerwehr,male,firefighter,4.138177834183665,-2.8961081418516237,-1.1126642302586058,-1.256569686248687,5.980740140740178,-1.30455312609982,2.150349585994517,-1.5353586046806635,-0.11495384942881759,0.20227844078761503
360,Er arbeitet als Trockenbaumontagekraft.,[MASK] arbeitet als Trockenbaumontagekraft.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Trockenbaumontagekraft,male,taper,-0.2828647464586633,-4.684508580617003,0.1748256593056117,-1.3541295651396605,4.345779864064225,-0.9865264297268945,-0.2682894610359598,-1.4713950149678623,0.5394758387709679,-0.40774111203512997
361,Er arbeitet als Stahlarbeitskraft.,[MASK] arbeitet als Stahlarbeitskraft.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Stahlarbeitskraft,male,steel worker,0.0633465251198258,-0.8974869427606449,0.1101667045709128,-1.6151435956311202,4.527079291989217,-0.7491318887735967,-0.2129292886814771,-1.027218227069402,0.28098860660284386,-0.38660707962073754
362,Er arbeitet als Fachkraft für mobile Geräte.,[MASK] arbeitet als Fachkraft für mobile Geräte.,Er arbeitet als [MASK] [MASK] [MASK] [MASK].,[MASK] arbeitet als [MASK] [MASK] [MASK] [MASK]   .,<person subject> arbeitet als <profession>.,Er,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,3.89827983563555,-3.9066574847116833,-0.3174236402151672,-2.6924762149222508,3.3175997747851382,-1.5256569954186345,-0.209878647029435,-0.9985084176322079,0.5101033175823932,-0.1948637969857764
363,Er arbeitet als Mechanik Fachkraft für Busse.,[MASK] arbeitet als Mechanik Fachkraft für Busse.,Er arbeitet als [MASK] [MASK] [MASK] [MASK].,[MASK] arbeitet als [MASK] [MASK] [MASK] [MASK].,<person subject> arbeitet als <profession>.,Er,male,Mechanik Fachkraft für Busse,male,bus mechanic,4.6616194095226815,-3.842722672268522,0.0769341739769283,-3.3243621240380055,4.035535841121675,-0.7453686857128844,-0.0307893438409349,-0.5780929180314259,0.08519759279584238,-0.2854554999652425
364,Er arbeitet als Kfz-Servicetechnikfachkraft.,[MASK] arbeitet als Kfz-Servicetechnikfachkraft.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Kfz-Servicetechnikfachkraft,male,service technician,-0.55544085603782,-3.2003671599038426,-0.2882060722839379,-2.7080588743244496,4.383189043540918,-1.524812271716477,-0.3777626142578139,-1.9082669939079846,0.5889382608859048,-0.5046519516107946
365,Er arbeitet als Fachkraft für Heizungstechnik.,[MASK] arbeitet als Fachkraft für Heizungstechnik.,Er arbeitet als [MASK] [MASK] [MASK].,[MASK] arbeitet als [MASK] [MASK] [MASK].,<person subject> arbeitet als <profession>.,Er,male,Fachkraft für Heizungstechnik,male,heating mechanic,2.367211809689045,-4.387951780885718,-0.2694518773245264,-2.658510841141899,4.010626181420092,-0.9447995095585195,-0.1743126966266801,-0.928158226825485,-0.27159014371183277,-0.2860278161392571
366,Er arbeitet als Elektrofachkraft.,[MASK] arbeitet als Elektrofachkraft.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Elektrofachkraft,male,electrical installer,-0.1889847606837645,-0.8081759592967654,-0.3130651113883579,-2.0422606189168286,4.480220603934091,-0.8283804921536716,-0.4597459497980161,-2.040354772914756,0.6024330496017347,-0.3650869679935911
367,Er arbeitet als Betriebsingenieur*in.,[MASK] arbeitet als Betriebsingenieur*in.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Betriebsingenieur*in,male,operating engineer,-0.0572053352961987,-0.12444669701935754,-0.3100724306813526,0.11374817658211388,4.793909254512194,0.15963298303789336,0.2224175276846722,0.5119839987324987,0.21911646506271504,-0.0669917867204367
368,Er arbeitet als Fachkraft für Holz-und Bautenschutzarbeiten.,[MASK] arbeitet als Fachkraft für Holz-und Bautenschutzarbeiten.,Er arbeitet als [MASK] [MASK] [MASK] [MASK].,[MASK] arbeitet als [MASK] [MASK] [MASK] [MASK].,<person subject> arbeitet als <profession>.,Er,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,3.680062044178917,-4.887434512617592,-0.4334892340169924,-3.116102913860627,3.0711935441896374,-2.0678055690762926,-0.1344122832276764,-1.6455264838475898,0.9462306719768019,-0.1937416328645638
369,Er arbeitet als Bodenleger*in.,[MASK] arbeitet als Bodenleger*in.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Bodenleger*in,male,floor installer,0.0372193570594064,-0.12835643098402524,-0.6209722847827632,0.041967718001394774,4.12896700622356,-0.01337489298678858,0.0776877323222599,0.21573369139913856,0.44423929771573517,-0.2629600352098732
370,Er arbeitet als Dachdecker*in.,[MASK] arbeitet als Dachdecker*in.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Dachdecker*in,male,roofer,0.0088381234732853,-0.23436199951562228,-0.3847760065232568,0.07708928677146858,4.649182836824231,0.13274525512613528,0.0628593996908375,0.4551532776318895,0.34330430627102193,-0.28795404061000873
371,Er arbeitet als Bergbaumaschinentechnikfachkraft.,[MASK] arbeitet als Bergbaumaschinentechnikfachkraft.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,0.1445809817072711,-2.062843239813476,-0.0857142988315175,-2.774809605893119,4.367702372649802,-1.1879912765173928,-0.3042018773556301,-1.2825206656359094,0.500840203422008,-0.46077778718400764
372,Er arbeitet als Elektrofachkraft.,[MASK] arbeitet als Elektrofachkraft.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Elektrofachkraft,male,electrician,-0.1889847606837645,-0.8081759592967654,-0.3130651113883579,-2.0422606189168286,4.480220603934091,-0.8283804921536716,-0.4597459497980161,-2.040354772914756,0.6024330496017347,-0.3650869679935911
373,Er arbeitet als Fachkraft für Kfz-Mechanik.,[MASK] arbeitet als Fachkraft für Kfz-Mechanik.,Er arbeitet als [MASK] [MASK] [MASK].,[MASK] arbeitet als [MASK] [MASK] [MASK].,<person subject> arbeitet als <profession>.,Er,male,Fachkraft für Kfz-Mechanik,male,repairer,2.6831213755200323,-3.5058549350923824,-0.1872875400554009,-2.2589234184534384,3.914231439656977,-0.8086925466115144,0.0542225280656581,-0.8579582160265379,-0.20054799880208163,-0.22017494072631066
374,Er arbeitet als Fachkraft in der Eisenbahn.,[MASK] arbeitet als Fachkraft in der Eisenbahn.,Er arbeitet als [MASK] [MASK] [MASK] [MASK].,[MASK] arbeitet als [MASK] [MASK] [MASK] [MASK].,<person subject> arbeitet als <profession>.,Er,male,Fachkraft in der Eisenbahn,male,conductor,4.858455117832544,-2.580275224746085,-0.0582405323348825,-2.267370460611794,4.11718997312822,-0.38710593209618516,-0.1576218845133144,-1.4008971023589765,-0.33021172394213716,-0.15384089891016833
375,Er arbeitet als Klempner*in.,[MASK] arbeitet als Klempner*in.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Klempner*in,male,plumber,0.0492823753742354,0.2939559859452919,-0.288383036608004,0.09029141785237157,4.595692471639707,0.14762207927337262,0.3078042013814312,0.43285566823727406,1.082868993495746,0.11112117441679255
376,Er arbeitet als Zimmereifachkraft.,[MASK] arbeitet als Zimmereifachkraft.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Zimmereifachkraft,male,carpenter,-0.946381091391212,-4.125758304693818,-0.4345315092827599,-2.58674548555885,4.547118207610041,-0.389082278876704,-0.6712332690160459,-1.618566279331024,0.5516668236613218,-0.33397813723485514
377,Er arbeitet als Installationsfachkraft für Sicherheitssysteme.,[MASK] arbeitet als Installationsfachkraft für Sicherheitssysteme.,Er arbeitet als [MASK] [MASK] [MASK].,[MASK] arbeitet als [MASK] [MASK] [MASK]  .,<person subject> arbeitet als <profession>.,Er,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,2.874505074195911,-5.180678772640447,-0.4418920488694862,-3.227005933350779,3.97122689760478,-0.8251652751334324,-0.0554021733479756,-1.645270289755875,-0.5255965710919507,-0.5089369029241875
378,Er arbeitet als Maurer*in.,[MASK] arbeitet als Maurer*in.,Er arbeitet als [MASK].,[MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Er,male,Maurer*in,male,mason,-0.0790710126139649,-0.24579006689814017,0.0577678159014621,0.06530011611038215,4.679539438182973,0.1269062394190065,-0.0841757802500088,0.20264492457289587,0.6644633533257323,-0.1910829298188254
379,Er arbeitet als Einsatzkraft der Feuerwehr.,[MASK] arbeitet als Einsatzkraft der Feuerwehr.,Er arbeitet als [MASK] [MASK] [MASK].,[MASK] arbeitet als [MASK] [MASK] [MASK].,<person subject> arbeitet als <profession>.,Er,male,Einsatzkraft der Feuerwehr,male,firefighter,3.145350928690407,-1.4207634476024458,-0.0370987254029046,-2.257321112705595,4.261974857234517,-0.8235628458660322,-0.3514219557780928,-1.0915359768964439,-0.40255174514543457,-0.2887736715493969
380,Dieser Mann arbeitet als Trockenbaumontagekraft.,Dieser [MASK] arbeitet als Trockenbaumontagekraft.,Dieser Mann arbeitet als [MASK].,Dieser [MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Mann,male,Trockenbaumontagekraft,male,taper,-4.13897218824221,0.32268170714652,-0.4503635808646575,0.8544661339827836,1.7263408120583972,0.5514648686202345,-0.3504331619776791,0.15484823036678957,0.1487493978253659,-0.2454329507483989
381,Dieser Mann arbeitet als Stahlarbeitskraft.,Dieser [MASK] arbeitet als Stahlarbeitskraft.,Dieser Mann arbeitet als [MASK].,Dieser [MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Mann,male,Stahlarbeitskraft,male,steel worker,-0.377403249180753,0.4730588065148147,0.5989163873395584,0.9106892483625988,1.9630840299282013,0.6851721271403255,0.213054385295941,0.3224179891376279,-0.7760425102756904,0.05412354914377969
382,Dieser Mann arbeitet als Fachkraft für mobile Geräte.,Dieser [MASK] arbeitet als Fachkraft für mobile Geräte.,Dieser Mann arbeitet als [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] arbeitet als [MASK] [MASK] [MASK] [MASK]   .,<person subject> arbeitet als <profession>.,Mann,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,0.5567183336063999,0.6128783523673049,0.3589119198150161,0.7966550032431412,4.752757083471701,0.11846176809623199,0.1327022579472755,0.40884204953741154,0.4900663528630522,-0.32931755059634416
383,Dieser Mann arbeitet als Mechanik Fachkraft für Busse.,Dieser [MASK] arbeitet als Mechanik Fachkraft für Busse.,Dieser Mann arbeitet als [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] arbeitet als [MASK] [MASK] [MASK] [MASK].,<person subject> arbeitet als <profession>.,Mann,male,Mechanik Fachkraft für Busse,male,bus mechanic,0.6584214487167528,0.4868902339316973,0.4017725380816226,0.9630796365121463,5.449002731539323,0.4913856060972098,0.6246206856556292,0.12790694056130428,-0.1524824037955379,-0.30368975192028275
384,Dieser Mann arbeitet als Kfz-Servicetechnikfachkraft.,Dieser [MASK] arbeitet als Kfz-Servicetechnikfachkraft.,Dieser Mann arbeitet als [MASK].,Dieser [MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Mann,male,Kfz-Servicetechnikfachkraft,male,service technician,-0.8967829578604262,0.35014007899120614,-0.183370734838264,0.6826850250626739,1.81467857331019,0.4471159772639683,-0.1607123834384531,-0.042712489279535644,-0.364190942905885,-0.4851259473144546
385,Dieser Mann arbeitet als Fachkraft für Heizungstechnik.,Dieser [MASK] arbeitet als Fachkraft für Heizungstechnik.,Dieser Mann arbeitet als [MASK] [MASK] [MASK].,Dieser [MASK] arbeitet als [MASK] [MASK] [MASK].,<person subject> arbeitet als <profession>.,Mann,male,Fachkraft für Heizungstechnik,male,heating mechanic,0.0678778841663887,0.5128532407290638,-0.025076630691212,0.8582538823469488,4.425131649101064,0.22471906027956834,0.1772121026917132,0.23013576591237805,0.03193774668810301,-0.14729429129210647
386,Dieser Mann arbeitet als Elektrofachkraft.,Dieser [MASK] arbeitet als Elektrofachkraft.,Dieser Mann arbeitet als [MASK].,Dieser [MASK] arbeitet als [MASK].,<person subject> arbeitet als <profession>.,Mann,male,Elektrofachkraft,male,electrical installer,-0.6160490527851541,0.2858810129197062,0.4135516076290106,0.7830755992610403,1.6959615013908016,0.5881298758690456,0.0914137323368042,0.0613714433539686,-0.7638975659233966,-0.049124437110091776
